"Código","Municipio","Total de viviendas","Tipo de Vivienda","Cantidad de Viviendas","Porcentaje de Viviendas"
501,"Escuintla",44031,"Particular no registrada",406,0.92
502,"Santa Lucía Cotzumalguapa",29008,"Total de viviendas colectivas",17,0.06
502,"Santa Lucía Cotzumalguapa",29008,"Casa Formal",27563,95.02
502,"Santa Lucía Cotzumalguapa",29008,"Apartamento",286,0.99
502,"Santa Lucía Cotzumalguapa",29008,"Cuarto de casa de vecindad",591,2.04
502,"Santa Lucía Cotzumalguapa",29008,"Rancho",35,0.12
502,"Santa Lucía Cotzumalguapa",29008,"Improvisada",392,1.35
502,"Santa Lucía Cotzumalguapa",29008,"Otro",16,0.06
502,"Santa Lucía Cotzumalguapa",29008,"Particular no registrada",108,0.37
503,"La Democracia",6519,"Total de viviendas colectivas",2,0.03
503,"La Democracia",6519,"Casa Formal",6293,96.53
503,"La Democracia",6519,"Apartamento",34,0.52
503,"La Democracia",6519,"Cuarto de casa de vecindad",60,0.92
503,"La Democracia",6519,"Rancho",10,0.15
503,"La Democracia",6519,"Improvisada",113,1.73
503,"La Democracia",6519,"Otro",4,0.06
503,"La Democracia",6519,"Particular no registrada",3,0.05
504,"Siquinalá",6224,"Total de viviendas colectivas",10,0.16
504,"Siquinalá",6224,"Casa Formal",5914,95.02
504,"Siquinalá",6224,"Apartamento",39,0.63
504,"Siquinalá",6224,"Cuarto de casa de vecindad",193,3.1
504,"Siquinalá",6224,"Rancho",1,0.02
504,"Siquinalá",6224,"Improvisada",30,0.48
504,"Siquinalá",6224,"Otro",4,0.06
504,"Siquinalá",6224,"Particular no registrada",33,0.53
505,"Masagua",13858,"Total de viviendas colectivas",0,0
505,"Masagua",13858,"Casa Formal",13393,96.64
505,"Masagua",13858,"Apartamento",3,0.02
505,"Masagua",13858,"Cuarto de casa de vecindad",147,1.06
505,"Masagua",13858,"Rancho",16,0.12
505,"Masagua",13858,"Improvisada",207,1.49
505,"Masagua",13858,"Otro",19,0.14
505,"Masagua",13858,"Particular no registrada",73,0.53
506,"Tiquisate",17302,"Total de viviendas colectivas",9,0.05
506,"Tiquisate",17302,"Casa Formal",15540,89.82
506,"Tiquisate",17302,"Apartamento",44,0.25
506,"Tiquisate",17302,"Cuarto de casa de vecindad",616,3.56
506,"Tiquisate",17302,"Rancho",692,4
506,"Tiquisate",17302,"Improvisada",368,2.13
506,"Tiquisate",17302,"Otro",11,0.06
506,"Tiquisate",17302,"Particular no registrada",22,0.13
507,"La Gomera",12778,"Total de viviendas colectivas",8,0.06
507,"La Gomera",12778,"Casa Formal",11692,91.5
507,"La Gomera",12778,"Apartamento",14,0.11
507,"La Gomera",12778,"Cuarto de casa de vecindad",291,2.28
507,"La Gomera",12778,"Rancho",51,0.4
507,"La Gomera",12778,"Improvisada",692,5.42
507,"La Gomera",12778,"Otro",9,0.07
507,"La Gomera",12778,"Particular no registrada",21,0.16
508,"Guanagazapa",4168,"Total de viviendas colectivas",1,0.02
508,"Guanagazapa",4168,"Casa Formal",4108,98.56
508,"Guanagazapa",4168,"Apartamento",0,0
508,"Guanagazapa",4168,"Cuarto de casa de vecindad",36,0.86
508,"Guanagazapa",4168,"Rancho",7,0.17
508,"Guanagazapa",4168,"Improvisada",5,0.12
508,"Guanagazapa",4168,"Otro",4,0.1
508,"Guanagazapa",4168,"Particular no registrada",7,0.17
509,"San José",21340,"Total de viviendas colectivas",0,0
509,"San José",21340,"Casa Formal",19133,89.66
509,"San José",21340,"Apartamento",92,0.43
509,"San José",21340,"Cuarto de casa de vecindad",860,4.03
509,"San José",21340,"Rancho",857,4.02
509,"San José",21340,"Improvisada",332,1.56
509,"San José",21340,"Otro",27,0.13
509,"San José",21340,"Particular no registrada",39,0.18
510,"Iztapa",5742,"Total de viviendas colectivas",0,0
510,"Iztapa",5742,"Casa Formal",4707,81.97
510,"Iztapa",5742,"Apartamento",2,0.03
510,"Iztapa",5742,"Cuarto de casa de vecindad",77,1.34
510,"Iztapa",5742,"Rancho",849,14.79
510,"Iztapa",5742,"Improvisada",101,1.76
510,"Iztapa",5742,"Otro",2,0.03
510,"Iztapa",5742,"Particular no registrada",4,0.07
511,"Palín",17490,"Total de viviendas colectivas",4,0.02
511,"Palín",17490,"Casa Formal",16939,96.85
511,"Palín",17490,"Apartamento",205,1.17
511,"Palín",17490,"Cuarto de casa de vecindad",278,1.59
511,"Palín",17490,"Rancho",4,0.02
511,"Palín",17490,"Improvisada",21,0.12
511,"Palín",17490,"Otro",3,0.02
511,"Palín",17490,"Particular no registrada",36,0.21
512,"San Vicente Pacaya",4799,"Total de viviendas colectivas",0,0
512,"San Vicente Pacaya",4799,"Casa Formal",4754,99.06
512,"San Vicente Pacaya",4799,"Apartamento",6,0.13
512,"San Vicente Pacaya",4799,"Cuarto de casa de vecindad",3,0.06
512,"San Vicente Pacaya",4799,"Rancho",0,0
512,"San Vicente Pacaya",4799,"Improvisada",9,0.19
512,"San Vicente Pacaya",4799,"Otro",0,0
512,"San Vicente Pacaya",4799,"Particular no registrada",27,0.56
513,"Nueva Concepción",21237,"Total de viviendas colectivas",7,0.03
513,"Nueva Concepción",21237,"Casa Formal",19261,90.7
513,"Nueva Concepción",21237,"Apartamento",14,0.07
513,"Nueva Concepción",21237,"Cuarto de casa de vecindad",222,1.05
513,"Nueva Concepción",21237,"Rancho",1128,5.31
513,"Nueva Concepción",21237,"Improvisada",579,2.73
513,"Nueva Concepción",21237,"Otro",18,0.08
513,"Nueva Concepción",21237,"Particular no registrada",8,0.04
514,"Sipacate",5056,"Total de viviendas colectivas",7,0.14
514,"Sipacate",5056,"Casa Formal",3733,73.83
514,"Sipacate",5056,"Apartamento",0,0
514,"Sipacate",5056,"Cuarto de casa de vecindad",92,1.82
514,"Sipacate",5056,"Rancho",1071,21.18
514,"Sipacate",5056,"Improvisada",88,1.74
514,"Sipacate",5056,"Otro",10,0.2
514,"Sipacate",5056,"Particular no registrada",55,1.09
601,"Cuilapa",11323,"Total de viviendas colectivas",14,0.12
601,"Cuilapa",11323,"Casa Formal",10894,96.21
601,"Cuilapa",11323,"Apartamento",21,0.19
601,"Cuilapa",11323,"Cuarto de casa de vecindad",50,0.44
601,"Cuilapa",11323,"Rancho",8,0.07
601,"Cuilapa",11323,"Improvisada",326,2.88
601,"Cuilapa",11323,"Otro",3,0.03
601,"Cuilapa",11323,"Particular no registrada",7,0.06
602,"Barberena",15155,"Total de viviendas colectivas",12,0.08
602,"Barberena",15155,"Casa Formal",14504,95.7
602,"Barberena",15155,"Apartamento",75,0.49
602,"Barberena",15155,"Cuarto de casa de vecindad",345,2.28
602,"Barberena",15155,"Rancho",14,0.09
602,"Barberena",15155,"Improvisada",129,0.85
602,"Barberena",15155,"Otro",26,0.17
602,"Barberena",15155,"Particular no registrada",50,0.33
603,"Santa Rosa de Lima",6257,"Total de viviendas colectivas",2,0.03
603,"Santa Rosa de Lima",6257,"Casa Formal",6134,98.03
603,"Santa Rosa de Lima",6257,"Apartamento",7,0.11
603,"Santa Rosa de Lima",6257,"Cuarto de casa de vecindad",36,0.58
603,"Santa Rosa de Lima",6257,"Rancho",7,0.11
603,"Santa Rosa de Lima",6257,"Improvisada",64,1.02
603,"Santa Rosa de Lima",6257,"Otro",1,0.02
603,"Santa Rosa de Lima",6257,"Particular no registrada",6,0.1
604,"Casillas",7724,"Total de viviendas colectivas",1,0.01
604,"Casillas",7724,"Casa Formal",7701,99.7
604,"Casillas",7724,"Apartamento",5,0.06
604,"Casillas",7724,"Cuarto de casa de vecindad",3,0.04
604,"Casillas",7724,"Rancho",3,0.04
604,"Casillas",7724,"Improvisada",7,0.09
604,"Casillas",7724,"Otro",2,0.03
604,"Casillas",7724,"Particular no registrada",2,0.03
605,"San Rafael las Flores",3934,"Total de viviendas colectivas",0,0
605,"San Rafael las Flores",3934,"Casa Formal",3893,98.96
605,"San Rafael las Flores",3934,"Apartamento",3,0.08
605,"San Rafael las Flores",3934,"Cuarto de casa de vecindad",0,0
605,"San Rafael las Flores",3934,"Rancho",6,0.15
605,"San Rafael las Flores",3934,"Improvisada",21,0.53
605,"San Rafael las Flores",3934,"Otro",1,0.03
605,"San Rafael las Flores",3934,"Particular no registrada",10,0.25
606,"Oratorio",7474,"Total de viviendas colectivas",3,0.04
606,"Oratorio",7474,"Casa Formal",7333,98.11
606,"Oratorio",7474,"Apartamento",7,0.09
606,"Oratorio",7474,"Cuarto de casa de vecindad",17,0.23
606,"Oratorio",7474,"Rancho",8,0.11
606,"Oratorio",7474,"Improvisada",65,0.87
606,"Oratorio",7474,"Otro",6,0.08
606,"Oratorio",7474,"Particular no registrada",35,0.47
607,"San Juan Tecuaco",2451,"Total de viviendas colectivas",0,0
607,"San Juan Tecuaco",2451,"Casa Formal",2417,98.61
607,"San Juan Tecuaco",2451,"Apartamento",1,0.04
607,"San Juan Tecuaco",2451,"Cuarto de casa de vecindad",1,0.04
607,"San Juan Tecuaco",2451,"Rancho",2,0.08
607,"San Juan Tecuaco",2451,"Improvisada",27,1.1
607,"San Juan Tecuaco",2451,"Otro",0,0
607,"San Juan Tecuaco",2451,"Particular no registrada",3,0.12
608,"Chiquimulilla",17195,"Total de viviendas colectivas",0,0
608,"Chiquimulilla",17195,"Casa Formal",14415,83.83
608,"Chiquimulilla",17195,"Apartamento",94,0.55
608,"Chiquimulilla",17195,"Cuarto de casa de vecindad",172,1
608,"Chiquimulilla",17195,"Rancho",2285,13.29
608,"Chiquimulilla",17195,"Improvisada",185,1.08
608,"Chiquimulilla",17195,"Otro",17,0.1
608,"Chiquimulilla",17195,"Particular no registrada",27,0.16
609,"Taxisco",9255,"Total de viviendas colectivas",4,0.04
609,"Taxisco",9255,"Casa Formal",7653,82.69
609,"Taxisco",9255,"Apartamento",6,0.06
609,"Taxisco",9255,"Cuarto de casa de vecindad",49,0.53
609,"Taxisco",9255,"Rancho",1457,15.74
609,"Taxisco",9255,"Improvisada",76,0.82
609,"Taxisco",9255,"Otro",9,0.1
609,"Taxisco",9255,"Particular no registrada",1,0.01
610,"Santa María Ixhuatán",7155,"Total de viviendas colectivas",2,0.03
610,"Santa María Ixhuatán",7155,"Casa Formal",7030,98.25
610,"Santa María Ixhuatán",7155,"Apartamento",16,0.22
610,"Santa María Ixhuatán",7155,"Cuarto de casa de vecindad",1,0.01
610,"Santa María Ixhuatán",7155,"Rancho",2,0.03
610,"Santa María Ixhuatán",7155,"Improvisada",94,1.31
610,"Santa María Ixhuatán",7155,"Otro",1,0.01
610,"Santa María Ixhuatán",7155,"Particular no registrada",9,0.13
611,"Guazacapán",5306,"Total de viviendas colectivas",0,0
611,"Guazacapán",5306,"Casa Formal",4994,94.12
611,"Guazacapán",5306,"Apartamento",3,0.06
611,"Guazacapán",5306,"Cuarto de casa de vecindad",114,2.15
611,"Guazacapán",5306,"Rancho",107,2.02
611,"Guazacapán",5306,"Improvisada",84,1.58
611,"Guazacapán",5306,"Otro",0,0
611,"Guazacapán",5306,"Particular no registrada",4,0.08
612,"Santa Cruz Naranjo",4908,"Total de viviendas colectivas",1,0.02
612,"Santa Cruz Naranjo",4908,"Casa Formal",4832,98.45
612,"Santa Cruz Naranjo",4908,"Apartamento",1,0.02
612,"Santa Cruz Naranjo",4908,"Cuarto de casa de vecindad",6,0.12
612,"Santa Cruz Naranjo",4908,"Rancho",4,0.08
612,"Santa Cruz Naranjo",4908,"Improvisada",30,0.61
612,"Santa Cruz Naranjo",4908,"Otro",0,0
612,"Santa Cruz Naranjo",4908,"Particular no registrada",34,0.69
613,"Pueblo Nuevo Viñas",7316,"Total de viviendas colectivas",3,0.04
613,"Pueblo Nuevo Viñas",7316,"Casa Formal",7236,98.91
613,"Pueblo Nuevo Viñas",7316,"Apartamento",5,0.07
613,"Pueblo Nuevo Viñas",7316,"Cuarto de casa de vecindad",8,0.11
613,"Pueblo Nuevo Viñas",7316,"Rancho",3,0.04
613,"Pueblo Nuevo Viñas",7316,"Improvisada",29,0.4
613,"Pueblo Nuevo Viñas",7316,"Otro",1,0.01
613,"Pueblo Nuevo Viñas",7316,"Particular no registrada",31,0.42
614,"Nueva Santa Rosa",11249,"Total de viviendas colectivas",7,0.06
614,"Nueva Santa Rosa",11249,"Casa Formal",11169,99.29
614,"Nueva Santa Rosa",11249,"Apartamento",17,0.15
614,"Nueva Santa Rosa",11249,"Cuarto de casa de vecindad",26,0.23
614,"Nueva Santa Rosa",11249,"Rancho",10,0.09
614,"Nueva Santa Rosa",11249,"Improvisada",11,0.1
614,"Nueva Santa Rosa",11249,"Otro",0,0
614,"Nueva Santa Rosa",11249,"Particular no registrada",9,0.08
701,"Sololá",17380,"Total de viviendas colectivas",7,0.04
701,"Sololá",17380,"Casa Formal",17262,99.32
701,"Sololá",17380,"Apartamento",21,0.12
701,"Sololá",17380,"Cuarto de casa de vecindad",14,0.08
701,"Sololá",17380,"Rancho",16,0.09
701,"Sololá",17380,"Improvisada",22,0.13
701,"Sololá",17380,"Otro",2,0.01
701,"Sololá",17380,"Particular no registrada",36,0.21
702,"San José Chacayá",934,"Total de viviendas colectivas",0,0
702,"San José Chacayá",934,"Casa Formal",934,100
702,"San José Chacayá",934,"Apartamento",0,0
702,"San José Chacayá",934,"Cuarto de casa de vecindad",0,0
702,"San José Chacayá",934,"Rancho",0,0
702,"San José Chacayá",934,"Improvisada",0,0
702,"San José Chacayá",934,"Otro",0,0
702,"San José Chacayá",934,"Particular no registrada",0,0
703,"Santa María Visitación",672,"Total de viviendas colectivas",3,0.45
703,"Santa María Visitación",672,"Casa Formal",666,99.11
703,"Santa María Visitación",672,"Apartamento",1,0.15
703,"Santa María Visitación",672,"Cuarto de casa de vecindad",0,0
703,"Santa María Visitación",672,"Rancho",0,0
703,"Santa María Visitación",672,"Improvisada",0,0
703,"Santa María Visitación",672,"Otro",0,0
703,"Santa María Visitación",672,"Particular no registrada",2,0.3
704,"Santa Lucía Utatlán",5924,"Total de viviendas colectivas",3,0.05
704,"Santa Lucía Utatlán",5924,"Casa Formal",5873,99.14
704,"Santa Lucía Utatlán",5924,"Apartamento",3,0.05
704,"Santa Lucía Utatlán",5924,"Cuarto de casa de vecindad",14,0.24
704,"Santa Lucía Utatlán",5924,"Rancho",0,0
704,"Santa Lucía Utatlán",5924,"Improvisada",26,0.44
704,"Santa Lucía Utatlán",5924,"Otro",1,0.02
704,"Santa Lucía Utatlán",5924,"Particular no registrada",4,0.07
705,"Nahualá",17830,"Total de viviendas colectivas",0,0
705,"Nahualá",17830,"Casa Formal",17719,99.38
705,"Nahualá",17830,"Apartamento",2,0.01
705,"Nahualá",17830,"Cuarto de casa de vecindad",7,0.04
705,"Nahualá",17830,"Rancho",7,0.04
705,"Nahualá",17830,"Improvisada",22,0.12
705,"Nahualá",17830,"Otro",0,0
705,"Nahualá",17830,"Particular no registrada",73,0.41
706,"Santa Catarina Ixtahuacán",13604,"Total de viviendas colectivas",0,0
706,"Santa Catarina Ixtahuacán",13604,"Casa Formal",13550,99.6
706,"Santa Catarina Ixtahuacán",13604,"Apartamento",4,0.03
706,"Santa Catarina Ixtahuacán",13604,"Cuarto de casa de vecindad",6,0.04
706,"Santa Catarina Ixtahuacán",13604,"Rancho",9,0.07
706,"Santa Catarina Ixtahuacán",13604,"Improvisada",14,0.1
706,"Santa Catarina Ixtahuacán",13604,"Otro",3,0.02
706,"Santa Catarina Ixtahuacán",13604,"Particular no registrada",18,0.13
707,"Santa Clara la Laguna",2432,"Total de viviendas colectivas",3,0.12
707,"Santa Clara la Laguna",2432,"Casa Formal",2425,99.71
707,"Santa Clara la Laguna",2432,"Apartamento",0,0
707,"Santa Clara la Laguna",2432,"Cuarto de casa de vecindad",3,0.12
707,"Santa Clara la Laguna",2432,"Rancho",0,0
707,"Santa Clara la Laguna",2432,"Improvisada",1,0.04
707,"Santa Clara la Laguna",2432,"Otro",0,0
707,"Santa Clara la Laguna",2432,"Particular no registrada",0,0
708,"Concepción",1060,"Total de viviendas colectivas",0,0
708,"Concepción",1060,"Casa Formal",1059,99.91
708,"Concepción",1060,"Apartamento",0,0
708,"Concepción",1060,"Cuarto de casa de vecindad",0,0
708,"Concepción",1060,"Rancho",0,0
708,"Concepción",1060,"Improvisada",0,0
708,"Concepción",1060,"Otro",1,0.09
708,"Concepción",1060,"Particular no registrada",0,0
709,"San Andrés Semetabaj",3240,"Total de viviendas colectivas",11,0.34
709,"San Andrés Semetabaj",3240,"Casa Formal",3220,99.38
709,"San Andrés Semetabaj",3240,"Apartamento",5,0.15
709,"San Andrés Semetabaj",3240,"Cuarto de casa de vecindad",0,0
709,"San Andrés Semetabaj",3240,"Rancho",0,0
709,"San Andrés Semetabaj",3240,"Improvisada",2,0.06
709,"San Andrés Semetabaj",3240,"Otro",1,0.03
709,"San Andrés Semetabaj",3240,"Particular no registrada",1,0.03
710,"Panajachel",4309,"Total de viviendas colectivas",5,0.12
710,"Panajachel",4309,"Casa Formal",4144,96.17
710,"Panajachel",4309,"Apartamento",72,1.67
710,"Panajachel",4309,"Cuarto de casa de vecindad",77,1.79
710,"Panajachel",4309,"Rancho",0,0
710,"Panajachel",4309,"Improvisada",6,0.14
710,"Panajachel",4309,"Otro",3,0.07
710,"Panajachel",4309,"Particular no registrada",2,0.05
711,"Santa Catarina Palopó",1165,"Total de viviendas colectivas",0,0
711,"Santa Catarina Palopó",1165,"Casa Formal",1128,96.82
711,"Santa Catarina Palopó",1165,"Apartamento",29,2.49
711,"Santa Catarina Palopó",1165,"Cuarto de casa de vecindad",0,0
711,"Santa Catarina Palopó",1165,"Rancho",4,0.34
711,"Santa Catarina Palopó",1165,"Improvisada",0,0
711,"Santa Catarina Palopó",1165,"Otro",2,0.17
711,"Santa Catarina Palopó",1165,"Particular no registrada",2,0.17
712,"San Antonio Palopó",3860,"Total de viviendas colectivas",0,0
712,"San Antonio Palopó",3860,"Casa Formal",3838,99.43
712,"San Antonio Palopó",3860,"Apartamento",3,0.08
712,"San Antonio Palopó",3860,"Cuarto de casa de vecindad",1,0.03
712,"San Antonio Palopó",3860,"Rancho",3,0.08
712,"San Antonio Palopó",3860,"Improvisada",13,0.34
712,"San Antonio Palopó",3860,"Otro",1,0.03
712,"San Antonio Palopó",3860,"Particular no registrada",1,0.03
713,"San Lucas Tolimán",7564,"Total de viviendas colectivas",2,0.03
713,"San Lucas Tolimán",7564,"Casa Formal",7334,96.96
713,"San Lucas Tolimán",7564,"Apartamento",2,0.03
713,"San Lucas Tolimán",7564,"Cuarto de casa de vecindad",199,2.63
713,"San Lucas Tolimán",7564,"Rancho",2,0.03
713,"San Lucas Tolimán",7564,"Improvisada",19,0.25
713,"San Lucas Tolimán",7564,"Otro",4,0.05
713,"San Lucas Tolimán",7564,"Particular no registrada",2,0.03
714,"Santa Cruz la Laguna",1571,"Total de viviendas colectivas",0,0
714,"Santa Cruz la Laguna",1571,"Casa Formal",1561,99.36
714,"Santa Cruz la Laguna",1571,"Apartamento",0,0
714,"Santa Cruz la Laguna",1571,"Cuarto de casa de vecindad",1,0.06
714,"Santa Cruz la Laguna",1571,"Rancho",9,0.57
714,"Santa Cruz la Laguna",1571,"Improvisada",0,0
714,"Santa Cruz la Laguna",1571,"Otro",0,0
714,"Santa Cruz la Laguna",1571,"Particular no registrada",0,0
715,"San Pablo la Laguna",1958,"Total de viviendas colectivas",1,0.05
715,"San Pablo la Laguna",1958,"Casa Formal",1943,99.23
715,"San Pablo la Laguna",1958,"Apartamento",0,0
715,"San Pablo la Laguna",1958,"Cuarto de casa de vecindad",0,0
715,"San Pablo la Laguna",1958,"Rancho",0,0
715,"San Pablo la Laguna",1958,"Improvisada",5,0.26
715,"San Pablo la Laguna",1958,"Otro",0,0
715,"San Pablo la Laguna",1958,"Particular no registrada",9,0.46
716,"San Marcos la Laguna",675,"Total de viviendas colectivas",0,0
716,"San Marcos la Laguna",675,"Casa Formal",666,98.67
716,"San Marcos la Laguna",675,"Apartamento",1,0.15
716,"San Marcos la Laguna",675,"Cuarto de casa de vecindad",0,0
716,"San Marcos la Laguna",675,"Rancho",7,1.04
716,"San Marcos la Laguna",675,"Improvisada",0,0
716,"San Marcos la Laguna",675,"Otro",1,0.15
716,"San Marcos la Laguna",675,"Particular no registrada",0,0
717,"San Juan la Laguna",3078,"Total de viviendas colectivas",0,0
717,"San Juan la Laguna",3078,"Casa Formal",3066,99.61
717,"San Juan la Laguna",3078,"Apartamento",3,0.1
717,"San Juan la Laguna",3078,"Cuarto de casa de vecindad",4,0.13
717,"San Juan la Laguna",3078,"Rancho",1,0.03
717,"San Juan la Laguna",3078,"Improvisada",0,0
717,"San Juan la Laguna",3078,"Otro",2,0.06
717,"San Juan la Laguna",3078,"Particular no registrada",2,0.06
718,"San Pedro la Laguna",3232,"Total de viviendas colectivas",3,0.09
718,"San Pedro la Laguna",3232,"Casa Formal",3190,98.7
718,"San Pedro la Laguna",3232,"Apartamento",26,0.8
718,"San Pedro la Laguna",3232,"Cuarto de casa de vecindad",8,0.25
718,"San Pedro la Laguna",3232,"Rancho",2,0.06
718,"San Pedro la Laguna",3232,"Improvisada",1,0.03
718,"San Pedro la Laguna",3232,"Otro",0,0
718,"San Pedro la Laguna",3232,"Particular no registrada",2,0.06
719,"Santiago Atitlán",11470,"Total de viviendas colectivas",1,0.01
719,"Santiago Atitlán",11470,"Casa Formal",11250,98.08
719,"Santiago Atitlán",11470,"Apartamento",10,0.09
719,"Santiago Atitlán",11470,"Cuarto de casa de vecindad",179,1.56
719,"Santiago Atitlán",11470,"Rancho",5,0.04
719,"Santiago Atitlán",11470,"Improvisada",4,0.03
719,"Santiago Atitlán",11470,"Otro",10,0.09
719,"Santiago Atitlán",11470,"Particular no registrada",11,0.1
801,"Totonicapán",29705,"Total de viviendas colectivas",4,0.01
801,"Totonicapán",29705,"Casa Formal",29518,99.37
801,"Totonicapán",29705,"Apartamento",53,0.18
801,"Totonicapán",29705,"Cuarto de casa de vecindad",11,0.04
801,"Totonicapán",29705,"Rancho",12,0.04
801,"Totonicapán",29705,"Improvisada",57,0.19
801,"Totonicapán",29705,"Otro",2,0.01
801,"Totonicapán",29705,"Particular no registrada",48,0.16
802,"San Cristóbal Totonicapán",10372,"Total de viviendas colectivas",1,0.01
802,"San Cristóbal Totonicapán",10372,"Casa Formal",10277,99.08
802,"San Cristóbal Totonicapán",10372,"Apartamento",10,0.1
802,"San Cristóbal Totonicapán",10372,"Cuarto de casa de vecindad",18,0.17
802,"San Cristóbal Totonicapán",10372,"Rancho",22,0.21
802,"San Cristóbal Totonicapán",10372,"Improvisada",15,0.14
802,"San Cristóbal Totonicapán",10372,"Otro",0,0
802,"San Cristóbal Totonicapán",10372,"Particular no registrada",29,0.28
803,"San Francisco el Alto",14260,"Total de viviendas colectivas",2,0.01
803,"San Francisco el Alto",14260,"Casa Formal",14191,99.52
803,"San Francisco el Alto",14260,"Apartamento",10,0.07
803,"San Francisco el Alto",14260,"Cuarto de casa de vecindad",3,0.02
803,"San Francisco el Alto",14260,"Rancho",14,0.1
803,"San Francisco el Alto",14260,"Improvisada",6,0.04
803,"San Francisco el Alto",14260,"Otro",1,0.01
803,"San Francisco el Alto",14260,"Particular no registrada",33,0.23
804,"San Andrés Xecul",7496,"Total de viviendas colectivas",1,0.01
804,"San Andrés Xecul",7496,"Casa Formal",7437,99.21
804,"San Andrés Xecul",7496,"Apartamento",8,0.11
804,"San Andrés Xecul",7496,"Cuarto de casa de vecindad",8,0.11
804,"San Andrés Xecul",7496,"Rancho",5,0.07
804,"San Andrés Xecul",7496,"Improvisada",17,0.23
804,"San Andrés Xecul",7496,"Otro",6,0.08
804,"San Andrés Xecul",7496,"Particular no registrada",14,0.19
805,"Momostenango",26007,"Total de viviendas colectivas",3,0.01
805,"Momostenango",26007,"Casa Formal",25807,99.23
805,"Momostenango",26007,"Apartamento",11,0.04
805,"Momostenango",26007,"Cuarto de casa de vecindad",16,0.06
805,"Momostenango",26007,"Rancho",41,0.16
805,"Momostenango",26007,"Improvisada",51,0.2
805,"Momostenango",26007,"Otro",4,0.02
805,"Momostenango",26007,"Particular no registrada",74,0.28
806,"Santa María Chiquimula",11858,"Total de viviendas colectivas",2,0.02
806,"Santa María Chiquimula",11858,"Casa Formal",11768,99.24
806,"Santa María Chiquimula",11858,"Apartamento",4,0.03
806,"Santa María Chiquimula",11858,"Cuarto de casa de vecindad",8,0.07
806,"Santa María Chiquimula",11858,"Rancho",35,0.3
806,"Santa María Chiquimula",11858,"Improvisada",18,0.15
806,"Santa María Chiquimula",11858,"Otro",2,0.02
806,"Santa María Chiquimula",11858,"Particular no registrada",21,0.18
807,"Santa Lucía la Reforma",5068,"Total de viviendas colectivas",1,0.02
807,"Santa Lucía la Reforma",5068,"Casa Formal",5034,99.33
807,"Santa Lucía la Reforma",5068,"Apartamento",0,0
807,"Santa Lucía la Reforma",5068,"Cuarto de casa de vecindad",4,0.08
807,"Santa Lucía la Reforma",5068,"Rancho",7,0.14
807,"Santa Lucía la Reforma",5068,"Improvisada",3,0.06
807,"Santa Lucía la Reforma",5068,"Otro",2,0.04
807,"Santa Lucía la Reforma",5068,"Particular no registrada",17,0.34
808,"San Bartolo Aguas Calientes",2851,"Total de viviendas colectivas",1,0.04
808,"San Bartolo Aguas Calientes",2851,"Casa Formal",2834,99.4
808,"San Bartolo Aguas Calientes",2851,"Apartamento",1,0.04
808,"San Bartolo Aguas Calientes",2851,"Cuarto de casa de vecindad",0,0
808,"San Bartolo Aguas Calientes",2851,"Rancho",2,0.07
808,"San Bartolo Aguas Calientes",2851,"Improvisada",6,0.21
808,"San Bartolo Aguas Calientes",2851,"Otro",0,0
808,"San Bartolo Aguas Calientes",2851,"Particular no registrada",7,0.25
901,"Quetzaltenango",49152,"Total de viviendas colectivas",29,0.06
901,"Quetzaltenango",49152,"Casa Formal",46431,94.46
901,"Quetzaltenango",49152,"Apartamento",1891,3.85
901,"Quetzaltenango",49152,"Cuarto de casa de vecindad",602,1.22
901,"Quetzaltenango",49152,"Rancho",5,0.01
901,"Quetzaltenango",49152,"Improvisada",72,0.15
901,"Quetzaltenango",49152,"Otro",9,0.02
901,"Quetzaltenango",49152,"Particular no registrada",113,0.23
902,"Salcajá",5521,"Total de viviendas colectivas",1,0.02
902,"Salcajá",5521,"Casa Formal",5480,99.26
902,"Salcajá",5521,"Apartamento",30,0.54
902,"Salcajá",5521,"Cuarto de casa de vecindad",2,0.04
902,"Salcajá",5521,"Rancho",5,0.09
902,"Salcajá",5521,"Improvisada",0,0
902,"Salcajá",5521,"Otro",1,0.02
902,"Salcajá",5521,"Particular no registrada",2,0.04
903,"San Juan Olintepeque",9101,"Total de viviendas colectivas",0,0
903,"San Juan Olintepeque",9101,"Casa Formal",8971,98.57
903,"San Juan Olintepeque",9101,"Apartamento",87,0.96
903,"San Juan Olintepeque",9101,"Cuarto de casa de vecindad",17,0.19
903,"San Juan Olintepeque",9101,"Rancho",2,0.02
903,"San Juan Olintepeque",9101,"Improvisada",6,0.07
903,"San Juan Olintepeque",9101,"Otro",1,0.01
903,"San Juan Olintepeque",9101,"Particular no registrada",17,0.19
904,"San Carlos Sija",9989,"Total de viviendas colectivas",0,0
904,"San Carlos Sija",9989,"Casa Formal",9960,99.71
904,"San Carlos Sija",9989,"Apartamento",5,0.05
904,"San Carlos Sija",9989,"Cuarto de casa de vecindad",4,0.04
904,"San Carlos Sija",9989,"Rancho",4,0.04
904,"San Carlos Sija",9989,"Improvisada",4,0.04
904,"San Carlos Sija",9989,"Otro",4,0.04
904,"San Carlos Sija",9989,"Particular no registrada",8,0.08
905,"Sibilia",2708,"Total de viviendas colectivas",0,0
905,"Sibilia",2708,"Casa Formal",2705,99.89
905,"Sibilia",2708,"Apartamento",0,0
