"Código","Municipio","Causa de Inasistencia 4-29 años","Cantidad de Personas"
506,"Tiquisate","Los padres / pareja no quieren",188
506,"Tiquisate","Quehaceres del hogar",326
506,"Tiquisate","No le gusta / no quiere ir",1913
506,"Tiquisate","Ya termino sus estudios",551
506,"Tiquisate","Otra causa",3901
506,"Tiquisate","No especificado",2663
507,"La Gomera","Falta de dinero",3338
507,"La Gomera","Tiene que trabajar",2402
507,"La Gomera","No hay escuela, instituto o universidad",25
507,"La Gomera","Los padres / pareja no quieren",191
507,"La Gomera","Quehaceres del hogar",596
507,"La Gomera","No le gusta / no quiere ir",1706
507,"La Gomera","Ya termino sus estudios",360
507,"La Gomera","Otra causa",3368
507,"La Gomera","No especificado",2135
508,"Guanagazapa","Falta de dinero",1275
508,"Guanagazapa","Tiene que trabajar",646
508,"Guanagazapa","No hay escuela, instituto o universidad",13
508,"Guanagazapa","Los padres / pareja no quieren",38
508,"Guanagazapa","Quehaceres del hogar",242
508,"Guanagazapa","No le gusta / no quiere ir",557
508,"Guanagazapa","Ya termino sus estudios",62
508,"Guanagazapa","Otra causa",1025
508,"Guanagazapa","No especificado",604
509,"San José","Falta de dinero",3644
509,"San José","Tiene que trabajar",3426
509,"San José","No hay escuela, instituto o universidad",15
509,"San José","Los padres / pareja no quieren",154
509,"San José","Quehaceres del hogar",600
509,"San José","No le gusta / no quiere ir",1885
509,"San José","Ya termino sus estudios",804
509,"San José","Otra causa",3967
509,"San José","No especificado",3140
510,"Iztapa","Falta de dinero",1379
510,"Iztapa","Tiene que trabajar",732
510,"Iztapa","No hay escuela, instituto o universidad",3
510,"Iztapa","Los padres / pareja no quieren",26
510,"Iztapa","Quehaceres del hogar",140
510,"Iztapa","No le gusta / no quiere ir",608
510,"Iztapa","Ya termino sus estudios",115
510,"Iztapa","Otra causa",1184
510,"Iztapa","No especificado",1100
511,"Palín","Falta de dinero",2616
511,"Palín","Tiene que trabajar",3660
511,"Palín","No hay escuela, instituto o universidad",19
511,"Palín","Los padres / pareja no quieren",109
511,"Palín","Quehaceres del hogar",598
511,"Palín","No le gusta / no quiere ir",1420
511,"Palín","Ya termino sus estudios",305
511,"Palín","Otra causa",3413
511,"Palín","No especificado",4355
512,"San Vicente Pacaya","Falta de dinero",965
512,"San Vicente Pacaya","Tiene que trabajar",1036
512,"San Vicente Pacaya","No hay escuela, instituto o universidad",23
512,"San Vicente Pacaya","Los padres / pareja no quieren",10
512,"San Vicente Pacaya","Quehaceres del hogar",356
512,"San Vicente Pacaya","No le gusta / no quiere ir",398
512,"San Vicente Pacaya","Ya termino sus estudios",79
512,"San Vicente Pacaya","Otra causa",713
512,"San Vicente Pacaya","No especificado",734
513,"Nueva Concepción","Falta de dinero",4511
513,"Nueva Concepción","Tiene que trabajar",3619
513,"Nueva Concepción","No hay escuela, instituto o universidad",10
513,"Nueva Concepción","Los padres / pareja no quieren",223
513,"Nueva Concepción","Quehaceres del hogar",743
513,"Nueva Concepción","No le gusta / no quiere ir",3619
513,"Nueva Concepción","Ya termino sus estudios",727
513,"Nueva Concepción","Otra causa",5803
513,"Nueva Concepción","No especificado",2617
514,"Sipacate","Falta de dinero",1480
514,"Sipacate","Tiene que trabajar",910
514,"Sipacate","No hay escuela, instituto o universidad",18
514,"Sipacate","Los padres / pareja no quieren",39
514,"Sipacate","Quehaceres del hogar",142
514,"Sipacate","No le gusta / no quiere ir",703
514,"Sipacate","Ya termino sus estudios",54
514,"Sipacate","Otra causa",1152
514,"Sipacate","No especificado",661
601,"Cuilapa","Falta de dinero",1842
601,"Cuilapa","Tiene que trabajar",2397
601,"Cuilapa","No hay escuela, instituto o universidad",49
601,"Cuilapa","Los padres / pareja no quieren",64
601,"Cuilapa","Quehaceres del hogar",394
601,"Cuilapa","No le gusta / no quiere ir",1204
601,"Cuilapa","Ya termino sus estudios",297
601,"Cuilapa","Otra causa",2128
601,"Cuilapa","No especificado",1947
602,"Barberena","Falta de dinero",3889
602,"Barberena","Tiene que trabajar",3574
602,"Barberena","No hay escuela, instituto o universidad",86
602,"Barberena","Los padres / pareja no quieren",75
602,"Barberena","Quehaceres del hogar",463
602,"Barberena","No le gusta / no quiere ir",1685
602,"Barberena","Ya termino sus estudios",236
602,"Barberena","Otra causa",3605
602,"Barberena","No especificado",2164
603,"Santa Rosa de Lima","Falta de dinero",995
603,"Santa Rosa de Lima","Tiene que trabajar",1031
603,"Santa Rosa de Lima","No hay escuela, instituto o universidad",34
603,"Santa Rosa de Lima","Los padres / pareja no quieren",31
603,"Santa Rosa de Lima","Quehaceres del hogar",76
603,"Santa Rosa de Lima","No le gusta / no quiere ir",890
603,"Santa Rosa de Lima","Ya termino sus estudios",80
603,"Santa Rosa de Lima","Otra causa",1340
603,"Santa Rosa de Lima","No especificado",674
604,"Casillas","Falta de dinero",1685
604,"Casillas","Tiene que trabajar",1096
604,"Casillas","No hay escuela, instituto o universidad",79
604,"Casillas","Los padres / pareja no quieren",121
604,"Casillas","Quehaceres del hogar",206
604,"Casillas","No le gusta / no quiere ir",1613
604,"Casillas","Ya termino sus estudios",118
604,"Casillas","Otra causa",1775
604,"Casillas","No especificado",736
605,"San Rafael las Flores","Falta de dinero",906
605,"San Rafael las Flores","Tiene que trabajar",642
605,"San Rafael las Flores","No hay escuela, instituto o universidad",29
605,"San Rafael las Flores","Los padres / pareja no quieren",79
605,"San Rafael las Flores","Quehaceres del hogar",142
605,"San Rafael las Flores","No le gusta / no quiere ir",807
605,"San Rafael las Flores","Ya termino sus estudios",72
605,"San Rafael las Flores","Otra causa",865
605,"San Rafael las Flores","No especificado",320
606,"Oratorio","Falta de dinero",1285
606,"Oratorio","Tiene que trabajar",1065
606,"Oratorio","No hay escuela, instituto o universidad",49
606,"Oratorio","Los padres / pareja no quieren",64
606,"Oratorio","Quehaceres del hogar",235
606,"Oratorio","No le gusta / no quiere ir",1014
606,"Oratorio","Ya termino sus estudios",167
606,"Oratorio","Otra causa",1392
606,"Oratorio","No especificado",786
607,"San Juan Tecuaco","Falta de dinero",570
607,"San Juan Tecuaco","Tiene que trabajar",433
607,"San Juan Tecuaco","No hay escuela, instituto o universidad",8
607,"San Juan Tecuaco","Los padres / pareja no quieren",15
607,"San Juan Tecuaco","Quehaceres del hogar",53
607,"San Juan Tecuaco","No le gusta / no quiere ir",385
607,"San Juan Tecuaco","Ya termino sus estudios",76
607,"San Juan Tecuaco","Otra causa",442
607,"San Juan Tecuaco","No especificado",230
608,"Chiquimulilla","Falta de dinero",2969
608,"Chiquimulilla","Tiene que trabajar",2304
608,"Chiquimulilla","No hay escuela, instituto o universidad",38
608,"Chiquimulilla","Los padres / pareja no quieren",87
608,"Chiquimulilla","Quehaceres del hogar",632
608,"Chiquimulilla","No le gusta / no quiere ir",1452
608,"Chiquimulilla","Ya termino sus estudios",264
608,"Chiquimulilla","Otra causa",2490
608,"Chiquimulilla","No especificado",2243
609,"Taxisco","Falta de dinero",1604
609,"Taxisco","Tiene que trabajar",1213
609,"Taxisco","No hay escuela, instituto o universidad",36
609,"Taxisco","Los padres / pareja no quieren",83
609,"Taxisco","Quehaceres del hogar",235
609,"Taxisco","No le gusta / no quiere ir",848
609,"Taxisco","Ya termino sus estudios",207
609,"Taxisco","Otra causa",1636
609,"Taxisco","No especificado",1139
610,"Santa María Ixhuatán","Falta de dinero",1451
610,"Santa María Ixhuatán","Tiene que trabajar",1182
610,"Santa María Ixhuatán","No hay escuela, instituto o universidad",25
610,"Santa María Ixhuatán","Los padres / pareja no quieren",41
610,"Santa María Ixhuatán","Quehaceres del hogar",250
610,"Santa María Ixhuatán","No le gusta / no quiere ir",716
610,"Santa María Ixhuatán","Ya termino sus estudios",141
610,"Santa María Ixhuatán","Otra causa",1260
610,"Santa María Ixhuatán","No especificado",849
611,"Guazacapán","Falta de dinero",686
611,"Guazacapán","Tiene que trabajar",1139
611,"Guazacapán","No hay escuela, instituto o universidad",11
611,"Guazacapán","Los padres / pareja no quieren",72
611,"Guazacapán","Quehaceres del hogar",170
611,"Guazacapán","No le gusta / no quiere ir",411
611,"Guazacapán","Ya termino sus estudios",188
611,"Guazacapán","Otra causa",916
611,"Guazacapán","No especificado",723
612,"Santa Cruz Naranjo","Falta de dinero",657
612,"Santa Cruz Naranjo","Tiene que trabajar",1081
612,"Santa Cruz Naranjo","No hay escuela, instituto o universidad",15
612,"Santa Cruz Naranjo","Los padres / pareja no quieren",35
612,"Santa Cruz Naranjo","Quehaceres del hogar",162
612,"Santa Cruz Naranjo","No le gusta / no quiere ir",593
612,"Santa Cruz Naranjo","Ya termino sus estudios",71
612,"Santa Cruz Naranjo","Otra causa",805
612,"Santa Cruz Naranjo","No especificado",540
613,"Pueblo Nuevo Viñas","Falta de dinero",2021
613,"Pueblo Nuevo Viñas","Tiene que trabajar",1227
613,"Pueblo Nuevo Viñas","No hay escuela, instituto o universidad",39
613,"Pueblo Nuevo Viñas","Los padres / pareja no quieren",85
613,"Pueblo Nuevo Viñas","Quehaceres del hogar",210
613,"Pueblo Nuevo Viñas","No le gusta / no quiere ir",973
613,"Pueblo Nuevo Viñas","Ya termino sus estudios",108
613,"Pueblo Nuevo Viñas","Otra causa",1554
613,"Pueblo Nuevo Viñas","No especificado",996
614,"Nueva Santa Rosa","Falta de dinero",2009
614,"Nueva Santa Rosa","Tiene que trabajar",1958
614,"Nueva Santa Rosa","No hay escuela, instituto o universidad",40
614,"Nueva Santa Rosa","Los padres / pareja no quieren",111
614,"Nueva Santa Rosa","Quehaceres del hogar",440
614,"Nueva Santa Rosa","No le gusta / no quiere ir",1755
614,"Nueva Santa Rosa","Ya termino sus estudios",211
614,"Nueva Santa Rosa","Otra causa",2101
614,"Nueva Santa Rosa","No especificado",718
701,"Sololá","Falta de dinero",10777
701,"Sololá","Tiene que trabajar",2360
701,"Sololá","No hay escuela, instituto o universidad",17
701,"Sololá","Los padres / pareja no quieren",196
701,"Sololá","Quehaceres del hogar",209
701,"Sololá","No le gusta / no quiere ir",3285
701,"Sololá","Ya termino sus estudios",726
701,"Sololá","Otra causa",4397
701,"Sololá","No especificado",4306
702,"San José Chacayá","Falta de dinero",341
702,"San José Chacayá","Tiene que trabajar",112
702,"San José Chacayá","No hay escuela, instituto o universidad",1
702,"San José Chacayá","Los padres / pareja no quieren",8
702,"San José Chacayá","Quehaceres del hogar",5
702,"San José Chacayá","No le gusta / no quiere ir",113
702,"San José Chacayá","Ya termino sus estudios",107
702,"San José Chacayá","Otra causa",174
702,"San José Chacayá","No especificado",170
703,"Santa María Visitación","Falta de dinero",168
703,"Santa María Visitación","Tiene que trabajar",68
703,"Santa María Visitación","No hay escuela, instituto o universidad",0
703,"Santa María Visitación","Los padres / pareja no quieren",0
703,"Santa María Visitación","Quehaceres del hogar",2
703,"Santa María Visitación","No le gusta / no quiere ir",53
703,"Santa María Visitación","Ya termino sus estudios",11
703,"Santa María Visitación","Otra causa",128
703,"Santa María Visitación","No especificado",95
704,"Santa Lucía Utatlán","Falta de dinero",1891
704,"Santa Lucía Utatlán","Tiene que trabajar",549
704,"Santa Lucía Utatlán","No hay escuela, instituto o universidad",2
704,"Santa Lucía Utatlán","Los padres / pareja no quieren",24
704,"Santa Lucía Utatlán","Quehaceres del hogar",56
704,"Santa Lucía Utatlán","No le gusta / no quiere ir",1248
704,"Santa Lucía Utatlán","Ya termino sus estudios",417
704,"Santa Lucía Utatlán","Otra causa",1289
704,"Santa Lucía Utatlán","No especificado",574
705,"Nahualá","Falta de dinero",5829
705,"Nahualá","Tiene que trabajar",1040
705,"Nahualá","No hay escuela, instituto o universidad",69
705,"Nahualá","Los padres / pareja no quieren",377
705,"Nahualá","Quehaceres del hogar",556
705,"Nahualá","No le gusta / no quiere ir",5874
705,"Nahualá","Ya termino sus estudios",1199
705,"Nahualá","Otra causa",6354
705,"Nahualá","No especificado",3074
706,"Santa Catarina Ixtahuacán","Falta de dinero",4599
706,"Santa Catarina Ixtahuacán","Tiene que trabajar",685
706,"Santa Catarina Ixtahuacán","No hay escuela, instituto o universidad",59
706,"Santa Catarina Ixtahuacán","Los padres / pareja no quieren",306
706,"Santa Catarina Ixtahuacán","Quehaceres del hogar",235
706,"Santa Catarina Ixtahuacán","No le gusta / no quiere ir",4028
706,"Santa Catarina Ixtahuacán","Ya termino sus estudios",489
706,"Santa Catarina Ixtahuacán","Otra causa",4588
706,"Santa Catarina Ixtahuacán","No especificado",2745
707,"Santa Clara la Laguna","Falta de dinero",926
707,"Santa Clara la Laguna","Tiene que trabajar",346
707,"Santa Clara la Laguna","No hay escuela, instituto o universidad",1
707,"Santa Clara la Laguna","Los padres / pareja no quieren",6
707,"Santa Clara la Laguna","Quehaceres del hogar",68
707,"Santa Clara la Laguna","No le gusta / no quiere ir",501
707,"Santa Clara la Laguna","Ya termino sus estudios",72
707,"Santa Clara la Laguna","Otra causa",318
707,"Santa Clara la Laguna","No especificado",455
708,"Concepción","Falta de dinero",1040
708,"Concepción","Tiene que trabajar",189
708,"Concepción","No hay escuela, instituto o universidad",0
708,"Concepción","Los padres / pareja no quieren",38
708,"Concepción","Quehaceres del hogar",8
708,"Concepción","No le gusta / no quiere ir",254
708,"Concepción","Ya termino sus estudios",27
708,"Concepción","Otra causa",484
708,"Concepción","No especificado",394
709,"San Andrés Semetabaj","Falta de dinero",1306
709,"San Andrés Semetabaj","Tiene que trabajar",426
709,"San Andrés Semetabaj","No hay escuela, instituto o universidad",10
709,"San Andrés Semetabaj","Los padres / pareja no quieren",23
709,"San Andrés Semetabaj","Quehaceres del hogar",91
709,"San Andrés Semetabaj","No le gusta / no quiere ir",761
709,"San Andrés Semetabaj","Ya termino sus estudios",61
709,"San Andrés Semetabaj","Otra causa",629
709,"San Andrés Semetabaj","No especificado",389
710,"Panajachel","Falta de dinero",659
710,"Panajachel","Tiene que trabajar",688
710,"Panajachel","No hay escuela, instituto o universidad",4
710,"Panajachel","Los padres / pareja no quieren",4
710,"Panajachel","Quehaceres del hogar",18
710,"Panajachel","No le gusta / no quiere ir",341
710,"Panajachel","Ya termino sus estudios",107
710,"Panajachel","Otra causa",483
710,"Panajachel","No especificado",793
711,"Santa Catarina Palopó","Falta de dinero",336
711,"Santa Catarina Palopó","Tiene que trabajar",142
711,"Santa Catarina Palopó","No hay escuela, instituto o universidad",0
711,"Santa Catarina Palopó","Los padres / pareja no quieren",14
711,"Santa Catarina Palopó","Quehaceres del hogar",4
711,"Santa Catarina Palopó","No le gusta / no quiere ir",229
711,"Santa Catarina Palopó","Ya termino sus estudios",22
711,"Santa Catarina Palopó","Otra causa",136
711,"Santa Catarina Palopó","No especificado",330
712,"San Antonio Palopó","Falta de dinero",1501
712,"San Antonio Palopó","Tiene que trabajar",214
712,"San Antonio Palopó","No hay escuela, instituto o universidad",1
712,"San Antonio Palopó","Los padres / pareja no quieren",24
712,"San Antonio Palopó","Quehaceres del hogar",12
712,"San Antonio Palopó","No le gusta / no quiere ir",952
712,"San Antonio Palopó","Ya termino sus estudios",125
712,"San Antonio Palopó","Otra causa",1073
712,"San Antonio Palopó","No especificado",746
713,"San Lucas Tolimán","Falta de dinero",2315
713,"San Lucas Tolimán","Tiene que trabajar",903
713,"San Lucas Tolimán","No hay escuela, instituto o universidad",5
713,"San Lucas Tolimán","Los padres / pareja no quieren",49
713,"San Lucas Tolimán","Quehaceres del hogar",108
713,"San Lucas Tolimán","No le gusta / no quiere ir",1374
713,"San Lucas Tolimán","Ya termino sus estudios",306
713,"San Lucas Tolimán","Otra causa",1556
713,"San Lucas Tolimán","No especificado",1563
714,"Santa Cruz la Laguna","Falta de dinero",683
714,"Santa Cruz la Laguna","Tiene que trabajar",194
714,"Santa Cruz la Laguna","No hay escuela, instituto o universidad",0
714,"Santa Cruz la Laguna","Los padres / pareja no quieren",11
714,"Santa Cruz la Laguna","Quehaceres del hogar",13
714,"Santa Cruz la Laguna","No le gusta / no quiere ir",484
714,"Santa Cruz la Laguna","Ya termino sus estudios",17
714,"Santa Cruz la Laguna","Otra causa",286
714,"Santa Cruz la Laguna","No especificado",226
715,"San Pablo la Laguna","Falta de dinero",634
715,"San Pablo la Laguna","Tiene que trabajar",131
715,"San Pablo la Laguna","No hay escuela, instituto o universidad",0
715,"San Pablo la Laguna","Los padres / pareja no quieren",15
715,"San Pablo la Laguna","Quehaceres del hogar",4
715,"San Pablo la Laguna","No le gusta / no quiere ir",465
715,"San Pablo la Laguna","Ya termino sus estudios",56
715,"San Pablo la Laguna","Otra causa",424
715,"San Pablo la Laguna","No especificado",320
716,"San Marcos la Laguna","Falta de dinero",106
716,"San Marcos la Laguna","Tiene que trabajar",136
716,"San Marcos la Laguna","No hay escuela, instituto o universidad",2
716,"San Marcos la Laguna","Los padres / pareja no quieren",0
716,"San Marcos la Laguna","Quehaceres del hogar",5
716,"San Marcos la Laguna","No le gusta / no quiere ir",122
716,"San Marcos la Laguna","Ya termino sus estudios",22
716,"San Marcos la Laguna","Otra causa",165
716,"San Marcos la Laguna","No especificado",153
717,"San Juan la Laguna","Falta de dinero",1285
717,"San Juan la Laguna","Tiene que trabajar",219
717,"San Juan la Laguna","No hay escuela, instituto o universidad",10
717,"San Juan la Laguna","Los padres / pareja no quieren",16
717,"San Juan la Laguna","Quehaceres del hogar",15
717,"San Juan la Laguna","No le gusta / no quiere ir",424
717,"San Juan la Laguna","Ya termino sus estudios",69
717,"San Juan la Laguna","Otra causa",526
717,"San Juan la Laguna","No especificado",562
718,"San Pedro la Laguna","Falta de dinero",377
718,"San Pedro la Laguna","Tiene que trabajar",286
718,"San Pedro la Laguna","No hay escuela, instituto o universidad",2
718,"San Pedro la Laguna","Los padres / pareja no quieren",6
718,"San Pedro la Laguna","Quehaceres del hogar",66
718,"San Pedro la Laguna","No le gusta / no quiere ir",216
718,"San Pedro la Laguna","Ya termino sus estudios",188
718,"San Pedro la Laguna","Otra causa",450
718,"San Pedro la Laguna","No especificado",469
719,"Santiago Atitlán","Falta de dinero",3468
719,"Santiago Atitlán","Tiene que trabajar",1274
719,"Santiago Atitlán","No hay escuela, instituto o universidad",2
719,"Santiago Atitlán","Los padres / pareja no quieren",160
719,"Santiago Atitlán","Quehaceres del hogar",101
719,"Santiago Atitlán","No le gusta / no quiere ir",3430
719,"Santiago Atitlán","Ya termino sus estudios",116
719,"Santiago Atitlán","Otra causa",2044
719,"Santiago Atitlán","No especificado",2505
801,"Totonicapán","Falta de dinero",7565
801,"Totonicapán","Tiene que trabajar",4468
801,"Totonicapán","No hay escuela, instituto o universidad",24
801,"Totonicapán","Los padres / pareja no quieren",156
801,"Totonicapán","Quehaceres del hogar",303
801,"Totonicapán","No le gusta / no quiere ir",3051
801,"Totonicapán","Ya termino sus estudios",815
801,"Totonicapán","Otra causa",6217
801,"Totonicapán","No especificado",4401
802,"San Cristóbal Totonicapán","Falta de dinero",3204
802,"San Cristóbal Totonicapán","Tiene que trabajar",1526
802,"San Cristóbal Totonicapán","No hay escuela, instituto o universidad",4
802,"San Cristóbal Totonicapán","Los padres / pareja no quieren",69
802,"San Cristóbal Totonicapán","Quehaceres del hogar",87
802,"San Cristóbal Totonicapán","No le gusta / no quiere ir",1497
802,"San Cristóbal Totonicapán","Ya termino sus estudios",206
802,"San Cristóbal Totonicapán","Otra causa",2296
802,"San Cristóbal Totonicapán","No especificado",2296
803,"San Francisco el Alto","Falta de dinero",6087
803,"San Francisco el Alto","Tiene que trabajar",1564
803,"San Francisco el Alto","No hay escuela, instituto o universidad",11
803,"San Francisco el Alto","Los padres / pareja no quieren",150
803,"San Francisco el Alto","Quehaceres del hogar",88
803,"San Francisco el Alto","No le gusta / no quiere ir",2954
803,"San Francisco el Alto","Ya termino sus estudios",370
803,"San Francisco el Alto","Otra causa",3488
803,"San Francisco el Alto","No especificado",5231
804,"San Andrés Xecul","Falta de dinero",4018
804,"San Andrés Xecul","Tiene que trabajar",778
804,"San Andrés Xecul","No hay escuela, instituto o universidad",13
804,"San Andrés Xecul","Los padres / pareja no quieren",110
804,"San Andrés Xecul","Quehaceres del hogar",90
804,"San Andrés Xecul","No le gusta / no quiere ir",1423
804,"San Andrés Xecul","Ya termino sus estudios",287
804,"San Andrés Xecul","Otra causa",1524
804,"San Andrés Xecul","No especificado",1116
805,"Momostenango","Falta de dinero",10818
805,"Momostenango","Tiene que trabajar",4006
805,"Momostenango","No hay escuela, instituto o universidad",72
805,"Momostenango","Los padres / pareja no quieren",264
805,"Momostenango","Quehaceres del hogar",473
805,"Momostenango","No le gusta / no quiere ir",4391
805,"Momostenango","Ya termino sus estudios",398
805,"Momostenango","Otra causa",8217
805,"Momostenango","No especificado",5541
806,"Santa María Chiquimula","Falta de dinero",7774
806,"Santa María Chiquimula","Tiene que trabajar",2508
806,"Santa María Chiquimula","No hay escuela, instituto o universidad",75
806,"Santa María Chiquimula","Los padres / pareja no quieren",374
806,"Santa María Chiquimula","Quehaceres del hogar",333
806,"Santa María Chiquimula","No le gusta / no quiere ir",2610
806,"Santa María Chiquimula","Ya termino sus estudios",114
806,"Santa María Chiquimula","Otra causa",4277
806,"Santa María Chiquimula","No especificado",2779
807,"Santa Lucía la Reforma","Falta de dinero",2973
807,"Santa Lucía la Reforma","Tiene que trabajar",1164
807,"Santa Lucía la Reforma","No hay escuela, instituto o universidad",28
807,"Santa Lucía la Reforma","Los padres / pareja no quieren",173
807,"Santa Lucía la Reforma","Quehaceres del hogar",102
807,"Santa Lucía la Reforma","No le gusta / no quiere ir",780
807,"Santa Lucía la Reforma","Ya termino sus estudios",200
807,"Santa Lucía la Reforma","Otra causa",2152
807,"Santa Lucía la Reforma","No especificado",1375
808,"San Bartolo Aguas Calientes","Falta de dinero",1003
808,"San Bartolo Aguas Calientes","Tiene que trabajar",367
808,"San Bartolo Aguas Calientes","No hay escuela, instituto o universidad",4
808,"San Bartolo Aguas Calientes","Los padres / pareja no quieren",32
808,"San Bartolo Aguas Calientes","Quehaceres del hogar",30
808,"San Bartolo Aguas Calientes","No le gusta / no quiere ir",496
808,"San Bartolo Aguas Calientes","Ya termino sus estudios",141
808,"San Bartolo Aguas Calientes","Otra causa",671
808,"San Bartolo Aguas Calientes","No especificado",378
901,"Quetzaltenango","Falta de dinero",5247
901,"Quetzaltenango","Tiene que trabajar",9495
901,"Quetzaltenango","No hay escuela, instituto o universidad",91
901,"Quetzaltenango","Los padres / pareja no quieren",271
901,"Quetzaltenango","Quehaceres del hogar",979
901,"Quetzaltenango","No le gusta / no quiere ir",3364
901,"Quetzaltenango","Ya termino sus estudios",1527
901,"Quetzaltenango","Otra causa",8349
901,"Quetzaltenango","No especificado",7186
902,"Salcajá","Falta de dinero",720
902,"Salcajá","Tiene que trabajar",749
902,"Salcajá","No hay escuela, instituto o universidad",8
902,"Salcajá","Los padres / pareja no quieren",28
902,"Salcajá","Quehaceres del hogar",23
902,"Salcajá","No le gusta / no quiere ir",611
902,"Salcajá","Ya termino sus estudios",144
902,"Salcajá","Otra causa",1097
902,"Salcajá","No especificado",801
903,"San Juan Olintepeque","Falta de dinero",1614
903,"San Juan Olintepeque","Tiene que trabajar",1795
903,"San Juan Olintepeque","No hay escuela, instituto o universidad",6
903,"San Juan Olintepeque","Los padres / pareja no quieren",62
903,"San Juan Olintepeque","Quehaceres del hogar",126
903,"San Juan Olintepeque","No le gusta / no quiere ir",1115
903,"San Juan Olintepeque","Ya termino sus estudios",263
903,"San Juan Olintepeque","Otra causa",2318
903,"San Juan Olintepeque","No especificado",1479
904,"San Carlos Sija","Falta de dinero",2445
904,"San Carlos Sija","Tiene que trabajar",664
904,"San Carlos Sija","No hay escuela, instituto o universidad",20
904,"San Carlos Sija","Los padres / pareja no quieren",89
904,"San Carlos Sija","Quehaceres del hogar",113
904,"San Carlos Sija","No le gusta / no quiere ir",1277
904,"San Carlos Sija","Ya termino sus estudios",251
904,"San Carlos Sija","Otra causa",1748
904,"San Carlos Sija","No especificado",962
905,"Sibilia","Falta de dinero",507
905,"Sibilia","Tiene que trabajar",158
905,"Sibilia","No hay escuela, instituto o universidad",11
905,"Sibilia","Los padres / pareja no quieren",17
905,"Sibilia","Quehaceres del hogar",12
905,"Sibilia","No le gusta / no quiere ir",361
905,"Sibilia","Ya termino sus estudios",83
905,"Sibilia","Otra causa",557
905,"Sibilia","No especificado",336
906,"Cabricán","Falta de dinero",1676
906,"Cabricán","Tiene que trabajar",321
906,"Cabricán","No hay escuela, instituto o universidad",1
906,"Cabricán","Los padres / pareja no quieren",15
906,"Cabricán","Quehaceres del hogar",24
906,"Cabricán","No le gusta / no quiere ir",1688
906,"Cabricán","Ya termino sus estudios",217
906,"Cabricán","Otra causa",1820
906,"Cabricán","No especificado",1067
907,"Cajolá","Falta de dinero",1416
907,"Cajolá","Tiene que trabajar",123
907,"Cajolá","No hay escuela, instituto o universidad",0
907,"Cajolá","Los padres / pareja no quieren",22
907,"Cajolá","Quehaceres del hogar",15
907,"Cajolá","No le gusta / no quiere ir",1102
907,"Cajolá","Ya termino sus estudios",94
907,"Cajolá","Otra causa",1553
907,"Cajolá","No especificado",721
908,"San Miguel Siguilá","Falta de dinero",704
908,"San Miguel Siguilá","Tiene que trabajar",201
908,"San Miguel Siguilá","No hay escuela, instituto o universidad",2
908,"San Miguel Siguilá","Los padres / pareja no quieren",5
908,"San Miguel Siguilá","Quehaceres del hogar",16
908,"San Miguel Siguilá","No le gusta / no quiere ir",459
908,"San Miguel Siguilá","Ya termino sus estudios",32
908,"San Miguel Siguilá","Otra causa",602
908,"San Miguel Siguilá","No especificado",385
909,"San Juan Ostuncalco","Falta de dinero",3689
909,"San Juan Ostuncalco","Tiene que trabajar",1714
909,"San Juan Ostuncalco","No hay escuela, instituto o universidad",14
909,"San Juan Ostuncalco","Los padres / pareja no quieren",111
909,"San Juan Ostuncalco","Quehaceres del hogar",425
909,"San Juan Ostuncalco","No le gusta / no quiere ir",2452
909,"San Juan Ostuncalco","Ya termino sus estudios",427
909,"San Juan Ostuncalco","Otra causa",3744
909,"San Juan Ostuncalco","No especificado",2919
910,"San Mateo","Falta de dinero",336
910,"San Mateo","Tiene que trabajar",350
910,"San Mateo","No hay escuela, instituto o universidad",5
910,"San Mateo","Los padres / pareja no quieren",5
910,"San Mateo","Quehaceres del hogar",14
910,"San Mateo","No le gusta / no quiere ir",287
910,"San Mateo","Ya termino sus estudios",80
910,"San Mateo","Otra causa",434
910,"San Mateo","No especificado",435
911,"Concepción Chiquirichapa","Falta de dinero",1187
911,"Concepción Chiquirichapa","Tiene que trabajar",264
911,"Concepción Chiquirichapa","No hay escuela, instituto o universidad",5
911,"Concepción Chiquirichapa","Los padres / pareja no quieren",51
911,"Concepción Chiquirichapa","Quehaceres del hogar",63
911,"Concepción Chiquirichapa","No le gusta / no quiere ir",942
911,"Concepción Chiquirichapa","Ya termino sus estudios",187
911,"Concepción Chiquirichapa","Otra causa",1210
911,"Concepción Chiquirichapa","No especificado",635
912,"San Martín Sacatepéquez","Falta de dinero",3677
912,"San Martín Sacatepéquez","Tiene que trabajar",576
912,"San Martín Sacatepéquez","No hay escuela, instituto o universidad",22
912,"San Martín Sacatepéquez","Los padres / pareja no quieren",81
912,"San Martín Sacatepéquez","Quehaceres del hogar",147
912,"San Martín Sacatepéquez","No le gusta / no quiere ir",1980
912,"San Martín Sacatepéquez","Ya termino sus estudios",136
912,"San Martín Sacatepéquez","Otra causa",1969
912,"San Martín Sacatepéquez","No especificado",994
913,"Almolonga","Falta de dinero",779
913,"Almolonga","Tiene que trabajar",562
913,"Almolonga","No hay escuela, instituto o universidad",2
913,"Almolonga","Los padres / pareja no quieren",153
913,"Almolonga","Quehaceres del hogar",232
913,"Almolonga","No le gusta / no quiere ir",784
913,"Almolonga","Ya termino sus estudios",87
913,"Almolonga","Otra causa",997
913,"Almolonga","No especificado",1026
