"Código","Municipio","Total de viviendas particulares","Tipo de Ocupacion","Cantidad de Viviendas","Porcentaje de Viviendas Particulares"
904,"San Carlos Sija",9989,"De uso temporal",106,1.06
904,"San Carlos Sija",9989,"Desocupada",3249,32.53
904,"San Carlos Sija",9989,"Rechazo total o parcial",29,0.29
905,"Sibilia",2708,"Ocupada",1883,69.53
905,"Sibilia",2708,"De uso temporal",31,1.14
905,"Sibilia",2708,"Desocupada",794,29.32
905,"Sibilia",2708,"Rechazo total o parcial",0,0
906,"Cabricán",5989,"Ocupada",4378,73.1
906,"Cabricán",5989,"De uso temporal",51,0.85
906,"Cabricán",5989,"Desocupada",1545,25.8
906,"Cabricán",5989,"Rechazo total o parcial",15,0.25
907,"Cajolá",4126,"Ocupada",2896,70.19
907,"Cajolá",4126,"De uso temporal",27,0.65
907,"Cajolá",4126,"Desocupada",1203,29.16
907,"Cajolá",4126,"Rechazo total o parcial",0,0
908,"San Miguel Siguilá",2059,"Ocupada",1445,70.18
908,"San Miguel Siguilá",2059,"De uso temporal",19,0.92
908,"San Miguel Siguilá",2059,"Desocupada",595,28.9
908,"San Miguel Siguilá",2059,"Rechazo total o parcial",0,0
909,"San Juan Ostuncalco",14391,"Ocupada",9844,68.4
909,"San Juan Ostuncalco",14391,"De uso temporal",171,1.19
909,"San Juan Ostuncalco",14391,"Desocupada",3590,24.95
909,"San Juan Ostuncalco",14391,"Rechazo total o parcial",786,5.46
910,"San Mateo",2004,"Ocupada",1704,85.03
910,"San Mateo",2004,"De uso temporal",27,1.35
910,"San Mateo",2004,"Desocupada",273,13.62
910,"San Mateo",2004,"Rechazo total o parcial",0,0
911,"Concepción Chiquirichapa",4689,"Ocupada",3476,74.13
911,"Concepción Chiquirichapa",4689,"De uso temporal",26,0.55
911,"Concepción Chiquirichapa",4689,"Desocupada",1187,25.31
911,"Concepción Chiquirichapa",4689,"Rechazo total o parcial",0,0
912,"San Martín Sacatepéquez",7195,"Ocupada",5650,78.53
912,"San Martín Sacatepéquez",7195,"De uso temporal",57,0.79
912,"San Martín Sacatepéquez",7195,"Desocupada",1488,20.68
912,"San Martín Sacatepéquez",7195,"Rechazo total o parcial",0,0
913,"Almolonga",4075,"Ocupada",3254,79.85
913,"Almolonga",4075,"De uso temporal",47,1.15
913,"Almolonga",4075,"Desocupada",774,18.99
913,"Almolonga",4075,"Rechazo total o parcial",0,0
914,"Cantel",8809,"Ocupada",8066,91.57
914,"Cantel",8809,"De uso temporal",107,1.21
914,"Cantel",8809,"Desocupada",603,6.85
914,"Cantel",8809,"Rechazo total o parcial",33,0.37
915,"Huitán",3416,"Ocupada",2479,72.57
915,"Huitán",3416,"De uso temporal",11,0.32
915,"Huitán",3416,"Desocupada",925,27.08
915,"Huitán",3416,"Rechazo total o parcial",1,0.03
916,"Zunil",4052,"Ocupada",3335,82.31
916,"Zunil",4052,"De uso temporal",43,1.06
916,"Zunil",4052,"Desocupada",673,16.61
916,"Zunil",4052,"Rechazo total o parcial",1,0.02
917,"Colomba Costa Cuca",12802,"Ocupada",9883,77.2
917,"Colomba Costa Cuca",12802,"De uso temporal",78,0.61
917,"Colomba Costa Cuca",12802,"Desocupada",2568,20.06
917,"Colomba Costa Cuca",12802,"Rechazo total o parcial",273,2.13
918,"San Francisco la Unión",2154,"Ocupada",1565,72.66
918,"San Francisco la Unión",2154,"De uso temporal",18,0.84
918,"San Francisco la Unión",2154,"Desocupada",571,26.51
918,"San Francisco la Unión",2154,"Rechazo total o parcial",0,0
919,"El Palmar",6833,"Ocupada",5891,86.21
919,"El Palmar",6833,"De uso temporal",166,2.43
919,"El Palmar",6833,"Desocupada",771,11.28
919,"El Palmar",6833,"Rechazo total o parcial",5,0.07
920,"Coatepeque",29201,"Ocupada",22937,78.55
920,"Coatepeque",29201,"De uso temporal",362,1.24
920,"Coatepeque",29201,"Desocupada",4717,16.15
920,"Coatepeque",29201,"Rechazo total o parcial",1185,4.06
921,"Génova",9446,"Ocupada",7864,83.25
921,"Génova",9446,"De uso temporal",49,0.52
921,"Génova",9446,"Desocupada",1511,16
921,"Génova",9446,"Rechazo total o parcial",22,0.23
922,"Flores Costa Cuca",5273,"Ocupada",4588,87.01
922,"Flores Costa Cuca",5273,"De uso temporal",35,0.66
922,"Flores Costa Cuca",5273,"Desocupada",650,12.33
922,"Flores Costa Cuca",5273,"Rechazo total o parcial",0,0
923,"La Esperanza",5858,"Ocupada",4940,84.33
923,"La Esperanza",5858,"De uso temporal",172,2.94
923,"La Esperanza",5858,"Desocupada",745,12.72
923,"La Esperanza",5858,"Rechazo total o parcial",1,0.02
924,"Palestina de los Altos",5166,"Ocupada",3328,64.42
924,"Palestina de los Altos",5166,"De uso temporal",20,0.39
924,"Palestina de los Altos",5166,"Desocupada",1818,35.19
924,"Palestina de los Altos",5166,"Rechazo total o parcial",0,0
1001,"Mazatenango",22122,"Ocupada",18013,81.43
1001,"Mazatenango",22122,"De uso temporal",451,2.04
1001,"Mazatenango",22122,"Desocupada",3103,14.03
1001,"Mazatenango",22122,"Rechazo total o parcial",555,2.51
1002,"Cuyotenango",8808,"Ocupada",7525,85.43
1002,"Cuyotenango",8808,"De uso temporal",146,1.66
1002,"Cuyotenango",8808,"Desocupada",1059,12.02
1002,"Cuyotenango",8808,"Rechazo total o parcial",78,0.89
1003,"San Francisco Zapotitlán",5905,"Ocupada",5093,86.25
1003,"San Francisco Zapotitlán",5905,"De uso temporal",105,1.78
1003,"San Francisco Zapotitlán",5905,"Desocupada",676,11.45
1003,"San Francisco Zapotitlán",5905,"Rechazo total o parcial",31,0.52
1004,"San Bernardino",4004,"Ocupada",3434,85.76
1004,"San Bernardino",4004,"De uso temporal",41,1.02
1004,"San Bernardino",4004,"Desocupada",478,11.94
1004,"San Bernardino",4004,"Rechazo total o parcial",51,1.27
1005,"San José el Ídolo",2743,"Ocupada",2312,84.29
1005,"San José el Ídolo",2743,"De uso temporal",43,1.57
1005,"San José el Ídolo",2743,"Desocupada",388,14.15
1005,"San José el Ídolo",2743,"Rechazo total o parcial",0,0
1006,"Santo Domingo Suchitepéquez",10884,"Ocupada",8994,82.64
1006,"Santo Domingo Suchitepéquez",10884,"De uso temporal",82,0.75
1006,"Santo Domingo Suchitepéquez",10884,"Desocupada",1725,15.85
1006,"Santo Domingo Suchitepéquez",10884,"Rechazo total o parcial",83,0.76
1007,"San Lorenzo",3757,"Ocupada",3035,80.78
1007,"San Lorenzo",3757,"De uso temporal",87,2.32
1007,"San Lorenzo",3757,"Desocupada",633,16.85
1007,"San Lorenzo",3757,"Rechazo total o parcial",2,0.05
1008,"Samayac",6440,"Ocupada",5439,84.46
1008,"Samayac",6440,"De uso temporal",118,1.83
1008,"Samayac",6440,"Desocupada",819,12.72
1008,"Samayac",6440,"Rechazo total o parcial",64,0.99
1009,"San Pablo Jocopilas",5177,"Ocupada",4482,86.58
1009,"San Pablo Jocopilas",5177,"De uso temporal",84,1.62
1009,"San Pablo Jocopilas",5177,"Desocupada",608,11.74
1009,"San Pablo Jocopilas",5177,"Rechazo total o parcial",3,0.06
1010,"San Antonio Suchitepéquez",13627,"Ocupada",11861,87.04
1010,"San Antonio Suchitepéquez",13627,"De uso temporal",154,1.13
1010,"San Antonio Suchitepéquez",13627,"Desocupada",1602,11.76
1010,"San Antonio Suchitepéquez",13627,"Rechazo total o parcial",10,0.07
1011,"San Miguel Panán",2310,"Ocupada",2050,88.74
1011,"San Miguel Panán",2310,"De uso temporal",16,0.69
1011,"San Miguel Panán",2310,"Desocupada",220,9.52
1011,"San Miguel Panán",2310,"Rechazo total o parcial",24,1.04
1012,"San Gabriel",1849,"Ocupada",1617,87.45
1012,"San Gabriel",1849,"De uso temporal",6,0.32
1012,"San Gabriel",1849,"Desocupada",168,9.09
1012,"San Gabriel",1849,"Rechazo total o parcial",58,3.14
1013,"Chicacao",13134,"Ocupada",11390,86.72
1013,"Chicacao",13134,"De uso temporal",235,1.79
1013,"Chicacao",13134,"Desocupada",1509,11.49
1013,"Chicacao",13134,"Rechazo total o parcial",0,0
1014,"Patulul",10205,"Ocupada",8783,86.07
1014,"Patulul",10205,"De uso temporal",176,1.72
1014,"Patulul",10205,"Desocupada",1236,12.11
1014,"Patulul",10205,"Rechazo total o parcial",10,0.1
1015,"Santa Bárbara",6189,"Ocupada",5503,88.92
1015,"Santa Bárbara",6189,"De uso temporal",124,2
1015,"Santa Bárbara",6189,"Desocupada",562,9.08
1015,"Santa Bárbara",6189,"Rechazo total o parcial",0,0
1016,"San Juan Bautista",1918,"Ocupada",1687,87.96
1016,"San Juan Bautista",1918,"De uso temporal",47,2.45
1016,"San Juan Bautista",1918,"Desocupada",184,9.59
1016,"San Juan Bautista",1918,"Rechazo total o parcial",0,0
1017,"Santo Tomas la Unión",2886,"Ocupada",2401,83.19
1017,"Santo Tomas la Unión",2886,"De uso temporal",24,0.83
1017,"Santo Tomas la Unión",2886,"Desocupada",460,15.94
1017,"Santo Tomas la Unión",2886,"Rechazo total o parcial",1,0.03
1018,"Zunilito",1804,"Ocupada",1633,90.52
1018,"Zunilito",1804,"De uso temporal",23,1.27
1018,"Zunilito",1804,"Desocupada",146,8.09
1018,"Zunilito",1804,"Rechazo total o parcial",2,0.11
1019,"Pueblo Nuevo",2742,"Ocupada",2419,88.22
1019,"Pueblo Nuevo",2742,"De uso temporal",21,0.77
1019,"Pueblo Nuevo",2742,"Desocupada",292,10.65
1019,"Pueblo Nuevo",2742,"Rechazo total o parcial",10,0.36
1020,"Río Bravo",7314,"Ocupada",6299,86.12
1020,"Río Bravo",7314,"De uso temporal",101,1.38
1020,"Río Bravo",7314,"Desocupada",839,11.47
1020,"Río Bravo",7314,"Rechazo total o parcial",75,1.03
1021,"San José La Máquina",6308,"Ocupada",5181,82.13
1021,"San José La Máquina",6308,"De uso temporal",85,1.35
1021,"San José La Máquina",6308,"Desocupada",1032,16.36
1021,"San José La Máquina",6308,"Rechazo total o parcial",10,0.16
1101,"Retalhuleu",25970,"Ocupada",20969,80.74
1101,"Retalhuleu",25970,"De uso temporal",409,1.57
1101,"Retalhuleu",25970,"Desocupada",4193,16.15
1101,"Retalhuleu",25970,"Rechazo total o parcial",399,1.54
1102,"San Sebastián",7484,"Ocupada",6360,84.98
1102,"San Sebastián",7484,"De uso temporal",114,1.52
1102,"San Sebastián",7484,"Desocupada",974,13.01
1102,"San Sebastián",7484,"Rechazo total o parcial",36,0.48
1103,"Santa Cruz Muluá",3441,"Ocupada",2975,86.46
1103,"Santa Cruz Muluá",3441,"De uso temporal",32,0.93
1103,"Santa Cruz Muluá",3441,"Desocupada",430,12.5
1103,"Santa Cruz Muluá",3441,"Rechazo total o parcial",4,0.12
1104,"San Martín Zapotitlán",3057,"Ocupada",2625,85.87
1104,"San Martín Zapotitlán",3057,"De uso temporal",6,0.2
1104,"San Martín Zapotitlán",3057,"Desocupada",422,13.8
1104,"San Martín Zapotitlán",3057,"Rechazo total o parcial",4,0.13
1105,"San Felipe",6454,"Ocupada",5178,80.23
1105,"San Felipe",6454,"De uso temporal",125,1.94
1105,"San Felipe",6454,"Desocupada",1075,16.66
1105,"San Felipe",6454,"Rechazo total o parcial",76,1.18
1106,"San Andrés Villa Seca",12047,"Ocupada",10299,85.49
1106,"San Andrés Villa Seca",12047,"De uso temporal",63,0.52
1106,"San Andrés Villa Seca",12047,"Desocupada",1614,13.4
1106,"San Andrés Villa Seca",12047,"Rechazo total o parcial",71,0.59
1107,"Champerico",10458,"Ocupada",7577,72.45
1107,"Champerico",10458,"De uso temporal",690,6.6
1107,"Champerico",10458,"Desocupada",2032,19.43
1107,"Champerico",10458,"Rechazo total o parcial",159,1.52
1108,"Nuevo San Carlos",9665,"Ocupada",8261,85.47
1108,"Nuevo San Carlos",9665,"De uso temporal",149,1.54
1108,"Nuevo San Carlos",9665,"Desocupada",1187,12.28
1108,"Nuevo San Carlos",9665,"Rechazo total o parcial",68,0.7
1109,"El Asintal",9293,"Ocupada",7856,84.54
1109,"El Asintal",9293,"De uso temporal",74,0.8
1109,"El Asintal",9293,"Desocupada",1356,14.59
1109,"El Asintal",9293,"Rechazo total o parcial",7,0.08
1201,"San Marcos",12947,"Ocupada",9765,75.42
1201,"San Marcos",12947,"De uso temporal",262,2.02
1201,"San Marcos",12947,"Desocupada",2528,19.53
1201,"San Marcos",12947,"Rechazo total o parcial",392,3.03
1202,"San Pedro Sacatepéquez",22056,"Ocupada",17382,78.81
1202,"San Pedro Sacatepéquez",22056,"De uso temporal",461,2.09
1202,"San Pedro Sacatepéquez",22056,"Desocupada",4106,18.62
1202,"San Pedro Sacatepéquez",22056,"Rechazo total o parcial",107,0.49
1203,"San Antonio Sacatepéquez",5368,"Ocupada",4026,75
1203,"San Antonio Sacatepéquez",5368,"De uso temporal",125,2.33
1203,"San Antonio Sacatepéquez",5368,"Desocupada",1127,20.99
1203,"San Antonio Sacatepéquez",5368,"Rechazo total o parcial",90,1.68
1204,"Comitancillo",14228,"Ocupada",10109,71.05
1204,"Comitancillo",14228,"De uso temporal",141,0.99
1204,"Comitancillo",14228,"Desocupada",3708,26.06
1204,"Comitancillo",14228,"Rechazo total o parcial",270,1.9
1205,"San Miguel Ixtahuacán",12810,"Ocupada",8082,63.09
1205,"San Miguel Ixtahuacán",12810,"De uso temporal",110,0.86
1205,"San Miguel Ixtahuacán",12810,"Desocupada",4563,35.62
1205,"San Miguel Ixtahuacán",12810,"Rechazo total o parcial",55,0.43
1206,"Concepción Tutuapa",19722,"Ocupada",11966,60.67
1206,"Concepción Tutuapa",19722,"De uso temporal",768,3.89
1206,"Concepción Tutuapa",19722,"Desocupada",6959,35.29
1206,"Concepción Tutuapa",19722,"Rechazo total o parcial",29,0.15
1207,"Tacaná",15363,"Ocupada",13111,85.34
1207,"Tacaná",15363,"De uso temporal",125,0.81
1207,"Tacaná",15363,"Desocupada",2125,13.83
1207,"Tacaná",15363,"Rechazo total o parcial",2,0.01
1208,"Sibinal",3681,"Ocupada",2459,66.8
1208,"Sibinal",3681,"De uso temporal",102,2.77
1208,"Sibinal",3681,"Desocupada",1111,30.18
1208,"Sibinal",3681,"Rechazo total o parcial",9,0.24
1209,"Tajumulco",11935,"Ocupada",9256,77.55
1209,"Tajumulco",11935,"De uso temporal",239,2
1209,"Tajumulco",11935,"Desocupada",2375,19.9
1209,"Tajumulco",11935,"Rechazo total o parcial",65,0.54
1210,"Tejutla",10482,"Ocupada",7268,69.34
1210,"Tejutla",10482,"De uso temporal",262,2.5
1210,"Tejutla",10482,"Desocupada",2950,28.14
1210,"Tejutla",10482,"Rechazo total o parcial",2,0.02
1211,"San Rafael Pie de la Cuesta",4508,"Ocupada",3557,78.9
1211,"San Rafael Pie de la Cuesta",4508,"De uso temporal",44,0.98
1211,"San Rafael Pie de la Cuesta",4508,"Desocupada",865,19.19
1211,"San Rafael Pie de la Cuesta",4508,"Rechazo total o parcial",42,0.93
1212,"Nuevo Progreso",7683,"Ocupada",6177,80.4
1212,"Nuevo Progreso",7683,"De uso temporal",45,0.59
1212,"Nuevo Progreso",7683,"Desocupada",1434,18.66
1212,"Nuevo Progreso",7683,"Rechazo total o parcial",27,0.35
1213,"El Tumbador",10385,"Ocupada",8633,83.13
1213,"El Tumbador",10385,"De uso temporal",166,1.6
1213,"El Tumbador",10385,"Desocupada",1573,15.15
1213,"El Tumbador",10385,"Rechazo total o parcial",13,0.13
1214,"San José el Rodeo",4541,"Ocupada",3651,80.4
1214,"San José el Rodeo",4541,"De uso temporal",80,1.76
1214,"San José el Rodeo",4541,"Desocupada",802,17.66
1214,"San José el Rodeo",4541,"Rechazo total o parcial",8,0.18
1215,"Malacatán",24302,"Ocupada",18132,74.61
1215,"Malacatán",24302,"De uso temporal",158,0.65
1215,"Malacatán",24302,"Desocupada",5381,22.14
1215,"Malacatán",24302,"Rechazo total o parcial",631,2.6
1216,"Catarina",8779,"Ocupada",6624,75.45
1216,"Catarina",8779,"De uso temporal",209,2.38
1216,"Catarina",8779,"Desocupada",1834,20.89
1216,"Catarina",8779,"Rechazo total o parcial",112,1.28
1217,"Ayutla",10581,"Ocupada",8548,80.79
1217,"Ayutla",10581,"De uso temporal",190,1.8
1217,"Ayutla",10581,"Desocupada",1666,15.75
1217,"Ayutla",10581,"Rechazo total o parcial",177,1.67
1218,"Ocós",3228,"Ocupada",2493,77.23
1218,"Ocós",3228,"De uso temporal",37,1.15
1218,"Ocós",3228,"Desocupada",671,20.79
1218,"Ocós",3228,"Rechazo total o parcial",27,0.84
1219,"San Pablo",12642,"Ocupada",9739,77.04
1219,"San Pablo",12642,"De uso temporal",172,1.36
1219,"San Pablo",12642,"Desocupada",2684,21.23
1219,"San Pablo",12642,"Rechazo total o parcial",47,0.37
1220,"El Quetzal",5926,"Ocupada",4539,76.59
1220,"El Quetzal",5926,"De uso temporal",126,2.13
1220,"El Quetzal",5926,"Desocupada",1261,21.28
1220,"El Quetzal",5926,"Rechazo total o parcial",0,0
1221,"La Reforma",4369,"Ocupada",3538,80.98
1221,"La Reforma",4369,"De uso temporal",14,0.32
1221,"La Reforma",4369,"Desocupada",808,18.49
1221,"La Reforma",4369,"Rechazo total o parcial",9,0.21
1222,"Pajapita",5900,"Ocupada",4648,78.78
1222,"Pajapita",5900,"De uso temporal",25,0.42
1222,"Pajapita",5900,"Desocupada",1153,19.54
1222,"Pajapita",5900,"Rechazo total o parcial",74,1.25
1223,"Ixchiguán",6172,"Ocupada",4217,68.32
1223,"Ixchiguán",6172,"De uso temporal",41,0.66
1223,"Ixchiguán",6172,"Desocupada",1904,30.85
1223,"Ixchiguán",6172,"Rechazo total o parcial",10,0.16
1224,"San José Ojetenam",5409,"Ocupada",3153,58.29
1224,"San José Ojetenam",5409,"De uso temporal",300,5.55
1224,"San José Ojetenam",5409,"Desocupada",1871,34.59
1224,"San José Ojetenam",5409,"Rechazo total o parcial",85,1.57
1225,"San Cristóbal Cucho",4842,"Ocupada",3410,70.43
1225,"San Cristóbal Cucho",4842,"De uso temporal",86,1.78
1225,"San Cristóbal Cucho",4842,"Desocupada",1345,27.78
1225,"San Cristóbal Cucho",4842,"Rechazo total o parcial",1,0.02
1226,"Sipacapa",5734,"Ocupada",3544,61.81
1226,"Sipacapa",5734,"De uso temporal",78,1.36
1226,"Sipacapa",5734,"Desocupada",2096,36.55
1226,"Sipacapa",5734,"Rechazo total o parcial",16,0.28
1227,"Esquipulas Palo Gordo",3377,"Ocupada",2602,77.05
1227,"Esquipulas Palo Gordo",3377,"De uso temporal",21,0.62
1227,"Esquipulas Palo Gordo",3377,"Desocupada",754,22.33
1227,"Esquipulas Palo Gordo",3377,"Rechazo total o parcial",0,0
1228,"Río Blanco",1723,"Ocupada",1119,64.94
1228,"Río Blanco",1723,"De uso temporal",17,0.99
1228,"Río Blanco",1723,"Desocupada",587,34.07
1228,"Río Blanco",1723,"Rechazo total o parcial",0,0
1229,"San Lorenzo",3394,"Ocupada",2489,73.34
1229,"San Lorenzo",3394,"De uso temporal",11,0.32
1229,"San Lorenzo",3394,"Desocupada",894,26.34
1229,"San Lorenzo",3394,"Rechazo total o parcial",0,0
1230,"La Blanca",8055,"Ocupada",6492,80.6
1230,"La Blanca",8055,"De uso temporal",109,1.35
1230,"La Blanca",8055,"Desocupada",1398,17.36
1230,"La Blanca",8055,"Rechazo total o parcial",56,0.7
1301,"Huehuetenango",32397,"Ocupada",26256,81.04
1301,"Huehuetenango",32397,"De uso temporal",824,2.54
1301,"Huehuetenango",32397,"Desocupada",4777,14.75
1301,"Huehuetenango",32397,"Rechazo total o parcial",540,1.67
1302,"Chiantla",19758,"Ocupada",16585,83.94
1302,"Chiantla",19758,"De uso temporal",221,1.12
1302,"Chiantla",19758,"Desocupada",2863,14.49
1302,"Chiantla",19758,"Rechazo total o parcial",89,0.45
1303,"Malacatancito",5805,"Ocupada",3996,68.84
1303,"Malacatancito",5805,"De uso temporal",163,2.81
1303,"Malacatancito",5805,"Desocupada",1548,26.67
1303,"Malacatancito",5805,"Rechazo total o parcial",98,1.69
1304,"Cuilco",16311,"Ocupada",11328,69.45
1304,"Cuilco",16311,"De uso temporal",546,3.35
1304,"Cuilco",16311,"Desocupada",4412,27.05
1304,"Cuilco",16311,"Rechazo total o parcial",25,0.15
1305,"Nentón",10383,"Ocupada",8401,80.91
1305,"Nentón",10383,"De uso temporal",307,2.96
1305,"Nentón",10383,"Desocupada",1662,16.01
1305,"Nentón",10383,"Rechazo total o parcial",13,0.13
1306,"San Pedro Necta",9487,"Ocupada",6991,73.69
1306,"San Pedro Necta",9487,"De uso temporal",549,5.79
1306,"San Pedro Necta",9487,"Desocupada",1945,20.5
1306,"San Pedro Necta",9487,"Rechazo total o parcial",2,0.02
1307,"Jacaltenango",11460,"Ocupada",8930,77.92
1307,"Jacaltenango",11460,"De uso temporal",304,2.65
1307,"Jacaltenango",11460,"Desocupada",2208,19.27
1307,"Jacaltenango",11460,"Rechazo total o parcial",18,0.16
1308,"San Pedro Soloma",11830,"Ocupada",8786,74.27
1308,"San Pedro Soloma",11830,"De uso temporal",160,1.35
1308,"San Pedro Soloma",11830,"Desocupada",2823,23.86
1308,"San Pedro Soloma",11830,"Rechazo total o parcial",61,0.52
1309,"San Ildefonso Ixtahuacán",10489,"Ocupada",7961,75.9
1309,"San Ildefonso Ixtahuacán",10489,"De uso temporal",468,4.46
1309,"San Ildefonso Ixtahuacán",10489,"Desocupada",2051,19.55
1309,"San Ildefonso Ixtahuacán",10489,"Rechazo total o parcial",9,0.09
1310,"Santa Bárbara",9501,"Ocupada",5689,59.88
1310,"Santa Bárbara",9501,"De uso temporal",661,6.96
1310,"Santa Bárbara",9501,"Desocupada",3140,33.05
1310,"Santa Bárbara",9501,"Rechazo total o parcial",11,0.12
1311,"La Libertad",9691,"Ocupada",7253,74.84
1311,"La Libertad",9691,"De uso temporal",216,2.23
1311,"La Libertad",9691,"Desocupada",2152,22.21
1311,"La Libertad",9691,"Rechazo total o parcial",70,0.72
1312,"La Democracia",15181,"Ocupada",11037,72.7
1312,"La Democracia",15181,"De uso temporal",696,4.58
1312,"La Democracia",15181,"Desocupada",3214,21.17
1312,"La Democracia",15181,"Rechazo total o parcial",234,1.54
1313,"San Miguel Acatán",5113,"Ocupada",4397,86
1313,"San Miguel Acatán",5113,"De uso temporal",55,1.08
1313,"San Miguel Acatán",5113,"Desocupada",550,10.76
1313,"San Miguel Acatán",5113,"Rechazo total o parcial",111,2.17
1314,"San Rafael La Independencia",3391,"Ocupada",2242,66.12
1314,"San Rafael La Independencia",3391,"De uso temporal",45,1.33
1314,"San Rafael La Independencia",3391,"Desocupada",1102,32.5
1314,"San Rafael La Independencia",3391,"Rechazo total o parcial",2,0.06
1315,"Todos Santos Cuchumatán",10190,"Ocupada",6005,58.93
1315,"Todos Santos Cuchumatán",10190,"De uso temporal",176,1.73
1315,"Todos Santos Cuchumatán",10190,"Desocupada",4007,39.32
1315,"Todos Santos Cuchumatán",10190,"Rechazo total o parcial",2,0.02
1316,"San Juan Atitán",6122,"Ocupada",4162,67.98
1316,"San Juan Atitán",6122,"De uso temporal",112,1.83
1316,"San Juan Atitán",6122,"Desocupada",1841,30.07
1316,"San Juan Atitán",6122,"Rechazo total o parcial",7,0.11
1317,"Santa Eulalia",10388,"Ocupada",6486,62.44
1317,"Santa Eulalia",10388,"De uso temporal",902,8.68
1317,"Santa Eulalia",10388,"Desocupada",2838,27.32
1317,"Santa Eulalia",10388,"Rechazo total o parcial",162,1.56
1318,"San Mateo Ixtatán",10071,"Ocupada",6996,69.47
1318,"San Mateo Ixtatán",10071,"De uso temporal",454,4.51
1318,"San Mateo Ixtatán",10071,"Desocupada",2518,25
1318,"San Mateo Ixtatán",10071,"Rechazo total o parcial",103,1.02
1319,"Colotenango",7802,"Ocupada",5969,76.51
1319,"Colotenango",7802,"De uso temporal",90,1.15
1319,"Colotenango",7802,"Desocupada",1724,22.1
1319,"Colotenango",7802,"Rechazo total o parcial",19,0.24
1320,"San Sebastián Huehuetenango",7818,"Ocupada",5667,72.49
1320,"San Sebastián Huehuetenango",7818,"De uso temporal",218,2.79
1320,"San Sebastián Huehuetenango",7818,"Desocupada",1829,23.39
1320,"San Sebastián Huehuetenango",7818,"Rechazo total o parcial",104,1.33
1321,"Tectitán",3089,"Ocupada",1824,59.05
1321,"Tectitán",3089,"De uso temporal",91,2.95
1321,"Tectitán",3089,"Desocupada",1170,37.88
1321,"Tectitán",3089,"Rechazo total o parcial",4,0.13
1322,"Concepción Huista",4710,"Ocupada",3520,74.73
1322,"Concepción Huista",4710,"De uso temporal",180,3.82
1322,"Concepción Huista",4710,"Desocupada",1009,21.42
1322,"Concepción Huista",4710,"Rechazo total o parcial",1,0.02
1323,"San Juan Ixcoy",6739,"Ocupada",4258,63.18
1323,"San Juan Ixcoy",6739,"De uso temporal",561,8.32
1323,"San Juan Ixcoy",6739,"Desocupada",1906,28.28
1323,"San Juan Ixcoy",6739,"Rechazo total o parcial",14,0.21
1324,"San Antonio Huista",4949,"Ocupada",3901,78.82
1324,"San Antonio Huista",4949,"De uso temporal",120,2.42
1324,"San Antonio Huista",4949,"Desocupada",912,18.43
1324,"San Antonio Huista",4949,"Rechazo total o parcial",16,0.32
1325,"San Sebastián Coatán",6149,"Ocupada",4124,67.07
1325,"San Sebastián Coatán",6149,"De uso temporal",294,4.78
1325,"San Sebastián Coatán",6149,"Desocupada",1731,28.15
1325,"San Sebastián Coatán",6149,"Rechazo total o parcial",0,0
1326,"Santa Cruz Barillas",22921,"Ocupada",17437,76.07
1326,"Santa Cruz Barillas",22921,"De uso temporal",619,2.7
1326,"Santa Cruz Barillas",22921,"Desocupada",4510,19.68
1326,"Santa Cruz Barillas",22921,"Rechazo total o parcial",355,1.55
1327,"Aguacatán",14286,"Ocupada",9759,68.31
1327,"Aguacatán",14286,"De uso temporal",187,1.31
1327,"Aguacatán",14286,"Desocupada",4217,29.52
1327,"Aguacatán",14286,"Rechazo total o parcial",123,0.86
1328,"San Rafael Petzal",3107,"Ocupada",2148,69.13
1328,"San Rafael Petzal",3107,"De uso temporal",89,2.86
1328,"San Rafael Petzal",3107,"Desocupada",869,27.97
1328,"San Rafael Petzal",3107,"Rechazo total o parcial",1,0.03
1329,"San Gaspar Ixchil",2460,"Ocupada",1469,59.72
1329,"San Gaspar Ixchil",2460,"De uso temporal",30,1.22
1329,"San Gaspar Ixchil",2460,"Desocupada",961,39.07
1329,"San Gaspar Ixchil",2460,"Rechazo total o parcial",0,0
1330,"Santiago Chimaltenango",3944,"Ocupada",2516,63.79
1330,"Santiago Chimaltenango",3944,"De uso temporal",698,17.7
1330,"Santiago Chimaltenango",3944,"Desocupada",715,18.13
1330,"Santiago Chimaltenango",3944,"Rechazo total o parcial",15,0.38
1331,"Santa Ana Huista",2838,"Ocupada",2304,81.18
1331,"Santa Ana Huista",2838,"De uso temporal",43,1.52
1331,"Santa Ana Huista",2838,"Desocupada",483,17.02
1331,"Santa Ana Huista",2838,"Rechazo total o parcial",8,0.28
1332,"Unión Cantinil",4228,"Ocupada",3411,80.68
1332,"Unión Cantinil",4228,"De uso temporal",16,0.38
1332,"Unión Cantinil",4228,"Desocupada",785,18.57
1332,"Unión Cantinil",4228,"Rechazo total o parcial",16,0.38
1333,"Petatán",1709,"Ocupada",1293,75.66
1333,"Petatán",1709,"De uso temporal",190,11.12
1333,"Petatán",1709,"Desocupada",226,13.22
1333,"Petatán",1709,"Rechazo total o parcial",0,0
1401,"Santa Cruz del Quiché",20780,"Ocupada",15024,72.3
1401,"Santa Cruz del Quiché",20780,"De uso temporal",262,1.26
1401,"Santa Cruz del Quiché",20780,"Desocupada",4639,22.32
1401,"Santa Cruz del Quiché",20780,"Rechazo total o parcial",855,4.11
