"Código","Municipio","Total de mujeres en edad fértil","Situación","Cantidad de Mujeres","Porcentaje de Mujeres"
1325,"San Sebastián Coatán",5413,"Con  3 hijos nacidos",736,0.14
1326,"Santa Cruz Barillas",25158,"Con  3 hijos nacidos",2869,0.11
1327,"Aguacatán",14118,"Con  3 hijos nacidos",1748,0.12
1328,"San Rafael Petzal",2921,"Con  3 hijos nacidos",389,0.13
1329,"San Gaspar Ixchil",2001,"Con  3 hijos nacidos",237,0.12
1330,"Santiago Chimaltenango",3109,"Con  3 hijos nacidos",399,0.13
1331,"Santa Ana Huista",2608,"Con  3 hijos nacidos",419,0.16
1332,"Unión Cantinil",4518,"Con  3 hijos nacidos",661,0.15
1333,"Petatán",1761,"Con  3 hijos nacidos",234,0.13
1401,"Santa Cruz del Quiché",21349,"Con  3 hijos nacidos",3027,0.14
1402,"Chiché",7576,"Con  3 hijos nacidos",699,0.09
1403,"Chinique",3030,"Con  3 hijos nacidos",395,0.13
1404,"Zacualpa",8921,"Con  3 hijos nacidos",1055,0.12
1405,"Chajul",12404,"Con  3 hijos nacidos",1327,0.11
1406,"Santo Tomás Chichicastenango",39398,"Con  3 hijos nacidos",3817,0.1
1407,"Patzité",1651,"Con  3 hijos nacidos",165,0.1
1408,"San Antonio Ilotenango",6624,"Con  3 hijos nacidos",711,0.11
1409,"San Pedro Jocopilas",8259,"Con  3 hijos nacidos",773,0.09
1410,"Cunén",10413,"Con  3 hijos nacidos",1144,0.11
1411,"San Juan Cotzal",7761,"Con  3 hijos nacidos",826,0.11
1412,"Joyabaj",22143,"Con  3 hijos nacidos",2701,0.12
1413,"Santa María Nebaj",20879,"Con  3 hijos nacidos",2301,0.11
1414,"San Andrés Sajcabajá",7012,"Con  3 hijos nacidos",905,0.13
1415,"San Miguel Uspantán",16070,"Con  3 hijos nacidos",1800,0.11
1416,"Sacapulas",13771,"Con  3 hijos nacidos",1625,0.12
1417,"San Bartolomé Jocotenango",3359,"Con  3 hijos nacidos",319,0.09
1418,"Canillá",3226,"Con  3 hijos nacidos",495,0.15
1419,"Chicamán",9610,"Con  3 hijos nacidos",1068,0.11
1420,"Playa Grande Ixcán",24529,"Con  3 hijos nacidos",2818,0.11
1421,"Pachalum",2449,"Con  3 hijos nacidos",397,0.16
1501,"Salamá",18185,"Con  3 hijos nacidos",2964,0.16
1502,"San Miguel Chicaj",9140,"Con  3 hijos nacidos",1282,0.14
1503,"Rabinal",10917,"Con  3 hijos nacidos",1719,0.16
1504,"Cubulco",14883,"Con  3 hijos nacidos",2189,0.15
1505,"Granados",3723,"Con  3 hijos nacidos",615,0.17
1506,"Santa Cruz El Chol",2690,"Con  3 hijos nacidos",357,0.13
1507,"San Jerónimo",6998,"Con  3 hijos nacidos",1261,0.18
1508,"Purulhá",13896,"Con  3 hijos nacidos",1578,0.11
1601,"Cobán",57097,"Con  3 hijos nacidos",8405,0.15
1602,"Santa Cruz Verapaz",8480,"Con  3 hijos nacidos",1120,0.13
1603,"San Cristóbal Verapaz",17146,"Con  3 hijos nacidos",2069,0.12
1604,"Tactic",10415,"Con  3 hijos nacidos",1453,0.14
1605,"Tamahú",5062,"Con  3 hijos nacidos",564,0.11
1606,"San Miguel Tucurú",10607,"Con  3 hijos nacidos",1231,0.12
1607,"Panzós",17110,"Con  3 hijos nacidos",2139,0.13
1608,"Senahú",22827,"Con  3 hijos nacidos",2615,0.11
1609,"San Pedro Carchá",60904,"Con  3 hijos nacidos",7622,0.13
1610,"San Juan Chamelco",15105,"Con  3 hijos nacidos",1992,0.13
1611,"San Agustín Lanquín",6248,"Con  3 hijos nacidos",703,0.11
1612,"Santa María Cahabón",17057,"Con  3 hijos nacidos",1728,0.1
1613,"Chisec",20662,"Con  3 hijos nacidos",2441,0.12
1614,"Chahal",6912,"Con  3 hijos nacidos",780,0.11
1615,"Fray Bartolomé de las Casas",16834,"Con  3 hijos nacidos",2070,0.12
1616,"Santa Catalina La Tinta",10356,"Con  3 hijos nacidos",1310,0.13
1617,"Raxruhá",9279,"Con  3 hijos nacidos",1097,0.12
1701,"Flores",10948,"Con  3 hijos nacidos",1735,0.16
1702,"San José",1826,"Con  3 hijos nacidos",245,0.13
1703,"San Benito",12803,"Con  3 hijos nacidos",1942,0.15
1704,"San Andrés",8228,"Con  3 hijos nacidos",1072,0.13
1705,"La Libertad",18392,"Con  3 hijos nacidos",2232,0.12
1706,"San Francisco",4060,"Con  3 hijos nacidos",619,0.15
1707,"Santa Ana",5989,"Con  3 hijos nacidos",762,0.13
1708,"Dolores",6887,"Con  3 hijos nacidos",855,0.12
1709,"San Luis",18010,"Con  3 hijos nacidos",2286,0.13
1710,"Sayaxché",23645,"Con  3 hijos nacidos",2938,0.12
1711,"Melchor de Mencos",7551,"Con  3 hijos nacidos",1210,0.16
1712,"Poptún",14432,"Con  3 hijos nacidos",2103,0.15
1713,"Las Cruces",8359,"Con  3 hijos nacidos",1086,0.13
1714,"El Chal",3755,"Con  3 hijos nacidos",453,0.12
1801,"Puerto Barrios",28502,"Con  3 hijos nacidos",6106,0.21
1802,"Livingston",19257,"Con  3 hijos nacidos",2694,0.14
1803,"El Estor",17875,"Con  3 hijos nacidos",2233,0.12
1804,"Morales",27355,"Con  3 hijos nacidos",4825,0.18
1805,"Los Amates",16007,"Con  3 hijos nacidos",2556,0.16
1901,"Zacapa",16621,"Con  3 hijos nacidos",3516,0.21
1902,"Estanzuela",2774,"Con  3 hijos nacidos",611,0.22
1903,"Río Hondo",6024,"Con  3 hijos nacidos",1332,0.22
1904,"Gualán",12009,"Con  3 hijos nacidos",2159,0.18
1905,"Teculután",5032,"Con  3 hijos nacidos",1029,0.2
1906,"Usumatlán",3269,"Con  3 hijos nacidos",678,0.21
1907,"Cabañas",3533,"Con  3 hijos nacidos",624,0.18
1908,"San Diego",1927,"Con  3 hijos nacidos",309,0.16
1909,"La Unión",8297,"Con  3 hijos nacidos",954,0.11
1910,"Huité",2970,"Con  3 hijos nacidos",457,0.15
1911,"San Jorge",3343,"Con  3 hijos nacidos",636,0.19
2001,"Chiquimula",30451,"Con  3 hijos nacidos",5195,0.17
2002,"San José la Arada",2376,"Con  3 hijos nacidos",410,0.17
2003,"San Juan Ermita",4340,"Con  3 hijos nacidos",553,0.13
2004,"Jocotán",16505,"Con  3 hijos nacidos",1887,0.11
2005,"Camotán",13857,"Con  3 hijos nacidos",1478,0.11
2006,"Olopa",6866,"Con  3 hijos nacidos",748,0.11
2007,"Esquipulas",14922,"Con  3 hijos nacidos",2364,0.16
2008,"Concepción las Minas",3190,"Con  3 hijos nacidos",534,0.17
2009,"Quezaltepeque",8185,"Con  3 hijos nacidos",1139,0.14
2010,"San Jacinto",3494,"Con  3 hijos nacidos",493,0.14
2011,"Ipala",6296,"Con  3 hijos nacidos",1001,0.16
2101,"Jalapa",42623,"Con  3 hijos nacidos",6052,0.14
2102,"San Pedro Pinula",15694,"Con  3 hijos nacidos",1783,0.11
2103,"San Luis Jilotepeque",7307,"Con  3 hijos nacidos",978,0.13
2104,"San Manuel Chaparrón",2289,"Con  3 hijos nacidos",403,0.18
2105,"San Carlos Alzatate",4999,"Con  3 hijos nacidos",534,0.11
2106,"Monjas",7665,"Con  3 hijos nacidos",1228,0.16
2107,"Mataquescuintla",11337,"Con  3 hijos nacidos",1677,0.15
2201,"Jutiapa",39656,"Con  3 hijos nacidos",5874,0.15
2202,"El Progreso",6350,"Con  3 hijos nacidos",1160,0.18
2203,"Santa Catarina Mita",8125,"Con  3 hijos nacidos",1441,0.18
2204,"Agua Blanca",4440,"Con  3 hijos nacidos",745,0.17
2205,"Asunción Mita",13397,"Con  3 hijos nacidos",2457,0.18
2206,"Yupiltepeque",4731,"Con  3 hijos nacidos",589,0.12
2207,"Atescatempa",4966,"Con  3 hijos nacidos",1049,0.21
2208,"Jerez",1648,"Con  3 hijos nacidos",321,0.19
2209,"El Adelanto",1715,"Con  3 hijos nacidos",204,0.12
2210,"Zapotitlán",2385,"Con  3 hijos nacidos",300,0.13
2211,"Comapa",8354,"Con  3 hijos nacidos",1146,0.14
2212,"Jalpatagua",7773,"Con  3 hijos nacidos",1443,0.19
2213,"Conguaco",5724,"Con  3 hijos nacidos",609,0.11
2214,"Moyuta",10365,"Con  3 hijos nacidos",1642,0.16
2215,"Pasaco",2199,"Con  3 hijos nacidos",393,0.18
2216,"San José Acatempa",3796,"Con  3 hijos nacidos",678,0.18
2217,"Quesada",6155,"Con  3 hijos nacidos",1037,0.17
101,"Guatemala",263622,"Con  4 hijos nacidos",30774,0.12
102,"Santa Catarina Pinula",23901,"Con  4 hijos nacidos",2591,0.11
103,"San José Pinula",23316,"Con  4 hijos nacidos",2393,0.1
104,"San José del Golfo",1965,"Con  4 hijos nacidos",238,0.12
105,"Palencia",19386,"Con  4 hijos nacidos",2027,0.1
106,"Chinautla",32974,"Con  4 hijos nacidos",4059,0.12
107,"San Pedro Ayampuc",16464,"Con  4 hijos nacidos",2013,0.12
108,"Mixco",136108,"Con  4 hijos nacidos",15224,0.11
109,"San Pedro Sacatepéquez",14527,"Con  4 hijos nacidos",1575,0.11
110,"San Juan Sacatepéquez",60398,"Con  4 hijos nacidos",6174,0.1
111,"San Raymundo",9010,"Con  4 hijos nacidos",913,0.1
112,"Chuarrancho",3142,"Con  4 hijos nacidos",376,0.12
113,"Fraijanes",16324,"Con  4 hijos nacidos",1675,0.1
114,"Amatitlán",33678,"Con  4 hijos nacidos",3736,0.11
115,"Villa Nueva",127756,"Con  4 hijos nacidos",14520,0.11
116,"Villa Canales",44559,"Con  4 hijos nacidos",5022,0.11
117,"San Miguel Petapa",40599,"Con  4 hijos nacidos",4176,0.1
201,"Guastatoya",6931,"Con  4 hijos nacidos",757,0.11
202,"Morazán",3180,"Con  4 hijos nacidos",376,0.12
203,"San Agustín Acasaguastlán",11692,"Con  4 hijos nacidos",1255,0.11
204,"San Cristóbal Acasaguastlán",1955,"Con  4 hijos nacidos",245,0.13
205,"El Jícaro",3577,"Con  4 hijos nacidos",439,0.12
206,"Sansare",3473,"Con  4 hijos nacidos",413,0.12
207,"Sanarate",10818,"Con  4 hijos nacidos",1241,0.11
208,"San Antonio la Paz",5562,"Con  4 hijos nacidos",669,0.12
301,"Antigua Guatemala",12916,"Con  4 hijos nacidos",1383,0.11
302,"Jocotenango",6227,"Con  4 hijos nacidos",692,0.11
303,"Pastores",4986,"Con  4 hijos nacidos",590,0.12
304,"Sumpango",10410,"Con  4 hijos nacidos",858,0.08
305,"Santo Domingo Xenacoj",3564,"Con  4 hijos nacidos",297,0.08
306,"Santiago Sacatepéquez",8470,"Con  4 hijos nacidos",831,0.1
307,"San Bartolomé Milpas Altas",2316,"Con  4 hijos nacidos",205,0.09
308,"San Lucas Sacatepéquez",6865,"Con  4 hijos nacidos",637,0.09
309,"Santa Lucía Milpas Altas",4666,"Con  4 hijos nacidos",456,0.1
310,"Magdalena Milpas Altas",3404,"Con  4 hijos nacidos",351,0.1
311,"Santa María de Jesús",5691,"Con  4 hijos nacidos",555,0.1
312,"Ciudad Vieja",9597,"Con  4 hijos nacidos",1004,0.1
313,"San Miguel Dueñas",3701,"Con  4 hijos nacidos",388,0.1
314,"San Juan Alotenango",6638,"Con  4 hijos nacidos",731,0.11
315,"San Antonio Aguas Calientes",3174,"Con  4 hijos nacidos",336,0.11
316,"Santa Catarina Barahona",1165,"Con  4 hijos nacidos",120,0.1
401,"Chimaltenango",28134,"Con  4 hijos nacidos",2870,0.1
402,"San José Poaquil",7775,"Con  4 hijos nacidos",701,0.09
403,"San Martín Jilotepeque",20494,"Con  4 hijos nacidos",1856,0.09
404,"San Juan Comalapa",13383,"Con  4 hijos nacidos",1207,0.09
405,"Santa Apolonia",5015,"Con  4 hijos nacidos",407,0.08
406,"Tecpán Guatemala",24496,"Con  4 hijos nacidos",2195,0.09
407,"Patzún",16041,"Con  4 hijos nacidos",1386,0.09
408,"San Miguel Pochuta",2263,"Con  4 hijos nacidos",233,0.1
409,"Patzicía",9111,"Con  4 hijos nacidos",926,0.1
410,"Santa Cruz Balanyá",2546,"Con  4 hijos nacidos",232,0.09
411,"Acatenango",6322,"Con  4 hijos nacidos",671,0.11
412,"San Pedro Yepocapa",8808,"Con  4 hijos nacidos",906,0.1
413,"San Andrés Itzapa",8851,"Con  4 hijos nacidos",909,0.1
414,"Parramos",4545,"Con  4 hijos nacidos",405,0.09
415,"Zaragoza",6732,"Con  4 hijos nacidos",726,0.11
416,"El Tejar",5724,"Con  4 hijos nacidos",630,0.11
501,"Escuintla",42696,"Con  4 hijos nacidos",4992,0.12
502,"Santa Lucía Cotzumalguapa",30471,"Con  4 hijos nacidos",3414,0.11
503,"La Democracia",6084,"Con  4 hijos nacidos",751,0.12
504,"Siquinalá",6132,"Con  4 hijos nacidos",694,0.11
505,"Masagua",12045,"Con  4 hijos nacidos",1480,0.12
506,"Tiquisate",15282,"Con  4 hijos nacidos",1881,0.12
507,"La Gomera",12555,"Con  4 hijos nacidos",1503,0.12
508,"Guanagazapa",3982,"Con  4 hijos nacidos",422,0.11
509,"San José",17344,"Con  4 hijos nacidos",2018,0.12
510,"Iztapa",5076,"Con  4 hijos nacidos",603,0.12
511,"Palín",18821,"Con  4 hijos nacidos",2020,0.11
512,"San Vicente Pacaya",4514,"Con  4 hijos nacidos",515,0.11
513,"Nueva Concepción",19822,"Con  4 hijos nacidos",2219,0.11
514,"Sipacate",4426,"Con  4 hijos nacidos",533,0.12
601,"Cuilapa",11113,"Con  4 hijos nacidos",1285,0.12
602,"Barberena",15892,"Con  4 hijos nacidos",1907,0.12
603,"Santa Rosa de Lima",5402,"Con  4 hijos nacidos",617,0.11
604,"Casillas",6840,"Con  4 hijos nacidos",734,0.11
605,"San Rafael las Flores",3387,"Con  4 hijos nacidos",333,0.1
606,"Oratorio",6472,"Con  4 hijos nacidos",804,0.12
607,"San Juan Tecuaco",2596,"Con  4 hijos nacidos",223,0.09
608,"Chiquimulilla",14388,"Con  4 hijos nacidos",1749,0.12
609,"Taxisco",7702,"Con  4 hijos nacidos",995,0.13
610,"Santa María Ixhuatán",6168,"Con  4 hijos nacidos",725,0.12
611,"Guazacapán",5037,"Con  4 hijos nacidos",631,0.13
612,"Santa Cruz Naranjo",4352,"Con  4 hijos nacidos",500,0.11
613,"Pueblo Nuevo Viñas",6315,"Con  4 hijos nacidos",732,0.12
614,"Nueva Santa Rosa",10035,"Con  4 hijos nacidos",1081,0.11
701,"Sololá",25247,"Con  4 hijos nacidos",1943,0.08
702,"San José Chacayá",1122,"Con  4 hijos nacidos",108,0.1
703,"Santa María Visitación",679,"Con  4 hijos nacidos",59,0.09
704,"Santa Lucía Utatlán",6157,"Con  4 hijos nacidos",657,0.11
705,"Nahualá",22424,"Con  4 hijos nacidos",1795,0.08
706,"Santa Catarina Ixtahuacán",16963,"Con  4 hijos nacidos",1317,0.08
707,"Santa Clara la Laguna",2767,"Con  4 hijos nacidos",265,0.1
708,"Concepción",1771,"Con  4 hijos nacidos",135,0.08
709,"San Andrés Semetabaj",3867,"Con  4 hijos nacidos",358,0.09
710,"Panajachel",4347,"Con  4 hijos nacidos",439,0.1
711,"Santa Catarina Palopó",1073,"Con  4 hijos nacidos",86,0.08
712,"San Antonio Palopó",4170,"Con  4 hijos nacidos",385,0.09
713,"San Lucas Tolimán",8279,"Con  4 hijos nacidos",781,0.09
714,"Santa Cruz la Laguna",1569,"Con  4 hijos nacidos",138,0.09
715,"San Pablo la Laguna",2107,"Con  4 hijos nacidos",206,0.1
716,"San Marcos la Laguna",828,"Con  4 hijos nacidos",59,0.07
717,"San Juan la Laguna",3311,"Con  4 hijos nacidos",284,0.09
718,"San Pedro la Laguna",2958,"Con  4 hijos nacidos",358,0.12
719,"Santiago Atitlán",12280,"Con  4 hijos nacidos",1108,0.09
801,"Totonicapán",31356,"Con  4 hijos nacidos",3018,0.1
802,"San Cristóbal Totonicapán",10900,"Con  4 hijos nacidos",933,0.09
803,"San Francisco el Alto",16792,"Con  4 hijos nacidos",1413,0.08
804,"San Andrés Xecul",8242,"Con  4 hijos nacidos",638,0.08
805,"Momostenango",27315,"Con  4 hijos nacidos",2529,0.09
806,"Santa María Chiquimula",14291,"Con  4 hijos nacidos",1086,0.08
807,"Santa Lucía la Reforma",5615,"Con  4 hijos nacidos",462,0.08
808,"San Bartolo Aguas Calientes",2728,"Con  4 hijos nacidos",288,0.11
901,"Quetzaltenango",53486,"Con  4 hijos nacidos",5835,0.11
902,"Salcajá",5508,"Con  4 hijos nacidos",654,0.12
903,"San Juan Olintepeque",10466,"Con  4 hijos nacidos",1027,0.1
904,"San Carlos Sija",8120,"Con  4 hijos nacidos",1022,0.13
905,"Sibilia",2247,"Con  4 hijos nacidos",310,0.14
906,"Cabricán",6739,"Con  4 hijos nacidos",627,0.09
907,"Cajolá",4304,"Con  4 hijos nacidos",414,0.1
908,"San Miguel Siguilá",2376,"Con  4 hijos nacidos",173,0.07
909,"San Juan Ostuncalco",15138,"Con  4 hijos nacidos",1463,0.1
910,"San Mateo",2320,"Con  4 hijos nacidos",250,0.11
911,"Concepción Chiquirichapa",4983,"Con  4 hijos nacidos",506,0.1
912,"San Martín Sacatepéquez",8563,"Con  4 hijos nacidos",757,0.09
913,"Almolonga",4962,"Con  4 hijos nacidos",539,0.11
914,"Cantel",11587,"Con  4 hijos nacidos",1256,0.11
915,"Huitán",3809,"Con  4 hijos nacidos",337,0.09
916,"Zunil",4687,"Con  4 hijos nacidos",414,0.09
917,"Colomba Costa Cuca",12394,"Con  4 hijos nacidos",1453,0.12
918,"San Francisco la Unión",2210,"Con  4 hijos nacidos",246,0.11
919,"El Palmar",7719,"Con  4 hijos nacidos",804,0.1
920,"Coatepeque",28908,"Con  4 hijos nacidos",3303,0.11
921,"Génova",9848,"Con  4 hijos nacidos",1076,0.11
922,"Flores Costa Cuca",5703,"Con  4 hijos nacidos",683,0.12
923,"La Esperanza",6649,"Con  4 hijos nacidos",700,0.11
924,"Palestina de los Altos",4544,"Con  4 hijos nacidos",508,0.11
1001,"Mazatenango",21030,"Con  4 hijos nacidos",2448,0.12
1002,"Cuyotenango",9011,"Con  4 hijos nacidos",1123,0.12
1003,"San Francisco Zapotitlán",6178,"Con  4 hijos nacidos",675,0.11
1004,"San Bernardino",4216,"Con  4 hijos nacidos",497,0.12
1005,"San José el Ídolo",2693,"Con  4 hijos nacidos",281,0.1
1006,"Santo Domingo Suchitepéquez",11191,"Con  4 hijos nacidos",1182,0.11
1007,"San Lorenzo",3561,"Con  4 hijos nacidos",408,0.11
1008,"Samayac",6994,"Con  4 hijos nacidos",742,0.11
1009,"San Pablo Jocopilas",6013,"Con  4 hijos nacidos",624,0.1
1010,"San Antonio Suchitepéquez",15245,"Con  4 hijos nacidos",1610,0.11
1011,"San Miguel Panán",2633,"Con  4 hijos nacidos",254,0.1
1012,"San Gabriel",2043,"Con  4 hijos nacidos",247,0.12
1013,"Chicacao",14831,"Con  4 hijos nacidos",1585,0.11
1014,"Patulul",10637,"Con  4 hijos nacidos",1249,0.12
1015,"Santa Bárbara",6476,"Con  4 hijos nacidos",764,0.12
1016,"San Juan Bautista",2005,"Con  4 hijos nacidos",206,0.1
1017,"Santo Tomas la Unión",3403,"Con  4 hijos nacidos",347,0.1
1018,"Zunilito",2255,"Con  4 hijos nacidos",251,0.11
1019,"Pueblo Nuevo",3137,"Con  4 hijos nacidos",340,0.11
1020,"Río Bravo",7124,"Con  4 hijos nacidos",865,0.12
1021,"San José La Máquina",6174,"Con  4 hijos nacidos",669,0.11
1101,"Retalhuleu",24735,"Con  4 hijos nacidos",2890,0.12
1102,"San Sebastián",8203,"Con  4 hijos nacidos",902,0.11
1103,"Santa Cruz Muluá",3662,"Con  4 hijos nacidos",367,0.1
1104,"San Martín Zapotitlán",3249,"Con  4 hijos nacidos",352,0.11
1105,"San Felipe",6696,"Con  4 hijos nacidos",735,0.11
1106,"San Andrés Villa Seca",12166,"Con  4 hijos nacidos",1312,0.11
1107,"Champerico",8488,"Con  4 hijos nacidos",1017,0.12
1108,"Nuevo San Carlos",10317,"Con  4 hijos nacidos",1158,0.11
1109,"El Asintal",10031,"Con  4 hijos nacidos",1068,0.11
1201,"San Marcos",13016,"Con  4 hijos nacidos",1608,0.12
1202,"San Pedro Sacatepéquez",21982,"Con  4 hijos nacidos",2679,0.12
1203,"San Antonio Sacatepéquez",5117,"Con  4 hijos nacidos",617,0.12
1204,"Comitancillo",13997,"Con  4 hijos nacidos",1241,0.09
1205,"San Miguel Ixtahuacán",10985,"Con  4 hijos nacidos",1120,0.1
1206,"Concepción Tutuapa",16592,"Con  4 hijos nacidos",1796,0.11
1207,"Tacaná",18205,"Con  4 hijos nacidos",1923,0.11
1208,"Sibinal",3656,"Con  4 hijos nacidos",337,0.09
1209,"Tajumulco",12855,"Con  4 hijos nacidos",1250,0.1
1210,"Tejutla",9468,"Con  4 hijos nacidos",1084,0.11
1211,"San Rafael Pie de la Cuesta",4455,"Con  4 hijos nacidos",560,0.13
1212,"Nuevo Progreso",7576,"Con  4 hijos nacidos",803,0.11
1213,"El Tumbador",11106,"Con  4 hijos nacidos",1297,0.12
1214,"San José el Rodeo",4544,"Con  4 hijos nacidos",546,0.12
1215,"Malacatán",24599,"Con  4 hijos nacidos",2798,0.11
1216,"Catarina",7891,"Con  4 hijos nacidos",1091,0.14
1217,"Ayutla",10310,"Con  4 hijos nacidos",1243,0.12
1218,"Ocós",2906,"Con  4 hijos nacidos",331,0.11
1219,"San Pablo",13154,"Con  4 hijos nacidos",1550,0.12
1220,"El Quetzal",5794,"Con  4 hijos nacidos",707,0.12
1221,"La Reforma",4377,"Con  4 hijos nacidos",490,0.11
1222,"Pajapita",5886,"Con  4 hijos nacidos",692,0.12
1223,"Ixchiguán",5677,"Con  4 hijos nacidos",701,0.12
1224,"San José Ojetenam",4442,"Con  4 hijos nacidos",565,0.13
1225,"San Cristóbal Cucho",4347,"Con  4 hijos nacidos",482,0.11
1226,"Sipacapa",4806,"Con  4 hijos nacidos",467,0.1
1227,"Esquipulas Palo Gordo",3401,"Con  4 hijos nacidos",423,0.12
1228,"Río Blanco",1403,"Con  4 hijos nacidos",156,0.11
1229,"San Lorenzo",3377,"Con  4 hijos nacidos",391,0.12
1230,"La Blanca",7676,"Con  4 hijos nacidos",876,0.11
1301,"Huehuetenango",34102,"Con  4 hijos nacidos",4042,0.12
1302,"Chiantla",23810,"Con  4 hijos nacidos",2458,0.1
1303,"Malacatancito",5023,"Con  4 hijos nacidos",566,0.11
1304,"Cuilco",15379,"Con  4 hijos nacidos",1552,0.1
1305,"Nentón",11613,"Con  4 hijos nacidos",1223,0.11
1306,"San Pedro Necta",10237,"Con  4 hijos nacidos",1088,0.11
1307,"Jacaltenango",10715,"Con  4 hijos nacidos",1103,0.1
1308,"San Pedro Soloma",13252,"Con  4 hijos nacidos",1426,0.11
1309,"San Ildefonso Ixtahuacán",11254,"Con  4 hijos nacidos",1118,0.1
1310,"Santa Bárbara",8665,"Con  4 hijos nacidos",818,0.09
1311,"La Libertad",10031,"Con  4 hijos nacidos",1045,0.1
1312,"La Democracia",15055,"Con  4 hijos nacidos",1670,0.11
1313,"San Miguel Acatán",6259,"Con  4 hijos nacidos",718,0.11
1314,"San Rafael La Independencia",3359,"Con  4 hijos nacidos",420,0.13
1315,"Todos Santos Cuchumatán",7986,"Con  4 hijos nacidos",963,0.12
1316,"San Juan Atitán",5474,"Con  4 hijos nacidos",543,0.1
1317,"Santa Eulalia",9812,"Con  4 hijos nacidos",893,0.09
1318,"San Mateo Ixtatán",11186,"Con  4 hijos nacidos",1009,0.09
1319,"Colotenango",8896,"Con  4 hijos nacidos",905,0.1
1320,"San Sebastián Huehuetenango",8498,"Con  4 hijos nacidos",789,0.09
1321,"Tectitán",2565,"Con  4 hijos nacidos",316,0.12
1322,"Concepción Huista",4961,"Con  4 hijos nacidos",527,0.11
1323,"San Juan Ixcoy",5786,"Con  4 hijos nacidos",635,0.11
1324,"San Antonio Huista",4488,"Con  4 hijos nacidos",516,0.11
1325,"San Sebastián Coatán",5413,"Con  4 hijos nacidos",540,0.1
1326,"Santa Cruz Barillas",25158,"Con  4 hijos nacidos",2321,0.09
1327,"Aguacatán",14118,"Con  4 hijos nacidos",1236,0.09
1328,"San Rafael Petzal",2921,"Con  4 hijos nacidos",285,0.1
1329,"San Gaspar Ixchil",2001,"Con  4 hijos nacidos",213,0.11
1330,"Santiago Chimaltenango",3109,"Con  4 hijos nacidos",318,0.1
1331,"Santa Ana Huista",2608,"Con  4 hijos nacidos",299,0.11
1332,"Unión Cantinil",4518,"Con  4 hijos nacidos",518,0.11
1333,"Petatán",1761,"Con  4 hijos nacidos",165,0.09
1401,"Santa Cruz del Quiché",21349,"Con  4 hijos nacidos",2113,0.1
1402,"Chiché",7576,"Con  4 hijos nacidos",638,0.08
1403,"Chinique",3030,"Con  4 hijos nacidos",316,0.1
1404,"Zacualpa",8921,"Con  4 hijos nacidos",820,0.09
1405,"Chajul",12404,"Con  4 hijos nacidos",1087,0.09
1406,"Santo Tomás Chichicastenango",39398,"Con  4 hijos nacidos",3187,0.08
1407,"Patzité",1651,"Con  4 hijos nacidos",116,0.07
1408,"San Antonio Ilotenango",6624,"Con  4 hijos nacidos",602,0.09
1409,"San Pedro Jocopilas",8259,"Con  4 hijos nacidos",618,0.07
1410,"Cunén",10413,"Con  4 hijos nacidos",1012,0.1
1411,"San Juan Cotzal",7761,"Con  4 hijos nacidos",742,0.1
1412,"Joyabaj",22143,"Con  4 hijos nacidos",2124,0.1
1413,"Santa María Nebaj",20879,"Con  4 hijos nacidos",1956,0.09
1414,"San Andrés Sajcabajá",7012,"Con  4 hijos nacidos",662,0.09
1415,"San Miguel Uspantán",16070,"Con  4 hijos nacidos",1396,0.09
1416,"Sacapulas",13771,"Con  4 hijos nacidos",1221,0.09
1417,"San Bartolomé Jocotenango",3359,"Con  4 hijos nacidos",273,0.08
1418,"Canillá",3226,"Con  4 hijos nacidos",390,0.12
1419,"Chicamán",9610,"Con  4 hijos nacidos",899,0.09
1420,"Playa Grande Ixcán",24529,"Con  4 hijos nacidos",2196,0.09
1421,"Pachalum",2449,"Con  4 hijos nacidos",278,0.11
1501,"Salamá",18185,"Con  4 hijos nacidos",1878,0.1
1502,"San Miguel Chicaj",9140,"Con  4 hijos nacidos",968,0.11
1503,"Rabinal",10917,"Con  4 hijos nacidos",1362,0.12
1504,"Cubulco",14883,"Con  4 hijos nacidos",1634,0.11
1505,"Granados",3723,"Con  4 hijos nacidos",425,0.11
1506,"Santa Cruz El Chol",2690,"Con  4 hijos nacidos",307,0.11
1507,"San Jerónimo",6998,"Con  4 hijos nacidos",814,0.12
1508,"Purulhá",13896,"Con  4 hijos nacidos",1297,0.09
1601,"Cobán",57097,"Con  4 hijos nacidos",5586,0.1
1602,"Santa Cruz Verapaz",8480,"Con  4 hijos nacidos",816,0.1
1603,"San Cristóbal Verapaz",17146,"Con  4 hijos nacidos",1550,0.09
1604,"Tactic",10415,"Con  4 hijos nacidos",1008,0.1
1605,"Tamahú",5062,"Con  4 hijos nacidos",377,0.07
1606,"San Miguel Tucurú",10607,"Con  4 hijos nacidos",984,0.09
1607,"Panzós",17110,"Con  4 hijos nacidos",1688,0.1
1608,"Senahú",22827,"Con  4 hijos nacidos",2114,0.09
1609,"San Pedro Carchá",60904,"Con  4 hijos nacidos",5656,0.09
1610,"San Juan Chamelco",15105,"Con  4 hijos nacidos",1446,0.1
1611,"San Agustín Lanquín",6248,"Con  4 hijos nacidos",558,0.09
1612,"Santa María Cahabón",17057,"Con  4 hijos nacidos",1347,0.08
1613,"Chisec",20662,"Con  4 hijos nacidos",1753,0.08
